category,item,value,unit,source,status,notes
"repository","audit_head","809805d48e3a65457deb1756051a030d52d16dda","git commit","git rev-parse HEAD","FROZEN","Artifact relocation HEAD; audit did not modify existing evidence"
"repository","audit_head_tree","aa496d26711749ebbf67032c907cbbe57ef8c3f2","git tree","git show HEAD","FROZEN",""
"architecture","proposed_design","Mixed-Precision Scalar SMU + existing RVV","design","experiments/reports/P1_final_architecture_note.md; Phase 7/8 reports","FROZEN","Full SMU is ablation only"
"architecture","hw_sw_partition","state-dependent recurrence -> SMU; regular O[D] update -> RVV","contract","sw/spatzBenchmarks/native-online-attention/main.c","FROZEN",""
"architecture","scalar_core","Snitch integer core","core","hw/ip/spatz_cc/src/spatz_cc.sv","FROZEN",""
"architecture","vector_processor","Spatz RVV vector unit","processor","hw/ip/spatz_cc/src/spatz_cc.sv","FROZEN","Datapath/lanes/VRF/standard semantics unchanged"
"architecture","cluster_top","spatz_cluster","RTL top","experiments/PROJECT_STATE.md","FROZEN",""
"architecture","smu_top","online_merge_update_engine","RTL top","experiments/PROJECT_STATE.md","FROZEN",""
"architecture","tcdm_base","0x00100000","address","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson","FROZEN",""
"architecture","tcdm_size","131072","byte","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson; experiments/PROJECT_STATE.md","FROZEN","128 KiB"
"architecture","tcdm_banks","16","bank","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson","FROZEN",""
"architecture","vector_length","512","bit","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson","FROZEN","Default configuration"
"architecture","vector_fpus","4","FPU","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson","FROZEN","Default configuration"
"architecture","vector_ipus","1","IPU","hw/system/spatz_cluster/cfg/spatz_cluster.default.dram.hjson","FROZEN","Default configuration"
"architecture","selector_initial_state","0","bit","hw/ip/online_merge/src/online_merge_omerge_adapter.sv","FROZEN","Set on reset and successful complete INIT"
"architecture","selector_toggle_rule","successful response accepted only","event","hw/ip/online_merge/src/online_merge_omerge_adapter.sv","FROZEN","No toggle on invalid config or error"
"workload","native_tile_keys","4","key/tile","Phase 5-8 formal manifests","FROZEN","All formal native shapes"
"workload","first_tile_rule","software copies local state; no OMERGE","behavior","sw/spatzBenchmarks/native-online-attention/main.c","FROZEN",""
"isa","omerge_opcode","0x5B","hex","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","custom-2"
"isa","omerge_funct3","000","bits","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN",""
"isa","omerge_funct7","0000011","bits","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","numeric 3"
"isa","omerge_rs1_rs2","x0/x0","registers","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","No dynamic operands"
"isa","omerge_rd","x0..x31","register","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN","Completion/status destination"
"isa","omerge_mask","0xFFFFF07F","hex","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN",""
"isa","omerge_match","0x0600005B","hex","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN",""
"isa","omerge_word_formula","0x0600005B | (rd << 7)","formula","experiments/phase7_omerge_instruction/formal/instruction_manifest.json","FROZEN",""
"isa","omerge_software_encoding",".insn r 0x5b, 0, 3, rd, x0, x0","assembly","sw/spatzBenchmarks/native-online-attention/main.c","FROZEN",""
"isa","omerge_completion","rd=0 success; rd!=0 error after async completion","semantic","hw/ip/online_merge/src/online_merge_omerge_adapter.sv","FROZEN","Timed ISA window includes SMU busy"
"isa","omcfg_opcode","0x5B","hex","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN","custom-2"
"isa","omcfg_funct3","001","bits","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN",""
"isa","omcfg_rd","x0","register","experiments/phase8b_omcfg_impl/implementation_summary.md","FROZEN","No writeback/scoreboard destination"
