result_group,evidence_epoch,case,comparison,metric,baseline_value,design_value,unit,speedup_x,reduction_percent,status,source,notes
"native_performance","Phase5/6 formal","N8_D32_S1","B2R vs Mixed Scalar SMU+RVV","recurrence_cycles","12368","1451","cycle","8.523776705720193","88.268111","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","SMU window includes setup/wait and busy"
"native_performance","Phase5/6 formal","N8_D32_S1","B2R vs Mixed Scalar SMU+RVV","merge_cycles","13204","2318","cycle","5.6962899050905955","82.444714","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Recurrence + RVV + orchestration"
"native_performance","Phase5/6 formal","N8_D32_S1","B2R vs Mixed Scalar SMU+RVV","native_core_cycles","85262","73706","cycle","1.156785064987925","13.553517","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Excludes QKV loading/linear and diagnostics"
"native_performance","Phase5/6 formal","N16_D64_S1","B2R vs Mixed Scalar SMU+RVV","recurrence_cycles","68994","4926","cycle","14.006090133982948","92.860249","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","SMU window includes setup/wait and busy"
"native_performance","Phase5/6 formal","N16_D64_S1","B2R vs Mixed Scalar SMU+RVV","merge_cycles","77037","13060","cycle","5.898698315467075","83.047107","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Recurrence + RVV + orchestration"
"native_performance","Phase5/6 formal","N16_D64_S1","B2R vs Mixed Scalar SMU+RVV","native_core_cycles","571374","507918","cycle","1.1249335522663106","11.105861","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Excludes QKV loading/linear and diagnostics"
"native_performance","Phase6 formal","N24_D64_S1","B2R vs Mixed Scalar SMU+RVV","recurrence_cycles","165993","9334","cycle","17.78369402185558","94.376871","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Five merges"
"native_performance","Phase6 formal","N24_D64_S1","B2R vs Mixed Scalar SMU+RVV","merge_cycles","186446","29711","cycle","6.275318905455892","84.064555","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv",""
"native_performance","Phase6 formal","N24_D64_S1","B2R vs Mixed Scalar SMU+RVV","native_core_cycles","1288856","1130764","cycle","1.1398098984403466","12.266072","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv",""
"native_performance","Phase6 formal","N16_D128_S1","B2R vs Mixed Scalar SMU+RVV","recurrence_cycles","67451","4910","cycle","13.737474541751528","92.720642","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv","Three merges"
"native_performance","Phase6 formal","N16_D128_S1","B2R vs Mixed Scalar SMU+RVV","merge_cycles","82220","19841","cycle","4.143944357643264","75.868402","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv",""
"native_performance","Phase6 formal","N16_D128_S1","B2R vs Mixed Scalar SMU+RVV","native_core_cycles","1026162","962823","cycle","1.0657846769343897","6.172417","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/performance.csv",""
"native_numerical","Phase5/6 formal","N8_D32_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","output_mae","","0.00027930841859813427","absolute","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv","nonfinite=0"
"native_numerical","Phase5/6 formal","N8_D32_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","stable_relative_error","","0.004884280453878236","ratio","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase5/6 formal","N8_D32_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","cosine_similarity","","0.9999845409676584","cosine","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase5/6 formal","N16_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","output_mae","","0.0004665493647806329","absolute","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv","nonfinite=0"
"native_numerical","Phase5/6 formal","N16_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","stable_relative_error","","0.0070528189563345296","ratio","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase5/6 formal","N16_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","cosine_similarity","","0.9999707235395717","cosine","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase6 formal","N24_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","output_mae","","0.00037368802472788804","absolute","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv","nonfinite=0"
"native_numerical","Phase6 formal","N24_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","stable_relative_error","","0.006109508981206703","ratio","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase6 formal","N24_D64_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","cosine_similarity","","0.999980878833838","cosine","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase6 formal","N16_D128_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","output_mae","","0.0005631592360604287","absolute","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv","nonfinite=0"
"native_numerical","Phase6 formal","N16_D128_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","stable_relative_error","","0.005219446185106457","ratio","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"native_numerical","Phase6 formal","N16_D128_S1","Mixed Scalar SMU+RVV vs generated FP32 reference","cosine_similarity","","0.9999847510886731","cosine","","","SUPPORTED","experiments/phase6_integrated_cost_generality/p0_2_workload_generality/formal/numerical_agreement.csv",""
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","workload_setup_cycles","0","869","cycle","","","SUPPORTED_WITH_BOUNDARY","experiments/phase7_omerge_instruction/formal/performance.csv","MMIO configuration is charged inside recurring window"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","recurrence_control_cycles","2069","848","cycle","2.439858490566","59.014016","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Both values include engine busy"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","engine_busy_cycles","808","808","cycle","1.0","0.0","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Observer total"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","residual_control_cycles","1261","40","cycle","31.525","96.827914","DERIVED","experiments/phase7_omerge_instruction/formal/performance.csv","Control window minus engine busy; not separate counter"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","rvv_update_cycles","808","800","cycle","1.01","0.990099","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Common RVV path"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","merge_cycles","2926","1706","cycle","1.715123094959","41.695147","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv",""
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","native_core_cycles","74392","72897","cycle","1.020508388548","2.009625","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Setup excluded"
"omerge_control","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","setup_inclusive_cycles","74392","73766","cycle","1.008486294499","0.841488","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv",""
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","workload_setup_cycles","0","907","cycle","","","SUPPORTED_WITH_BOUNDARY","experiments/phase7_omerge_instruction/formal/performance.csv","MMIO configuration is charged inside recurring window"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","recurrence_control_cycles","8429","4929","cycle","1.710083181173","41.523312","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Both values include engine busy"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","engine_busy_cycles","4852","4848","cycle","1.000825082508","0.082440","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Small matched-run variation"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","residual_control_cycles","3577","81","cycle","44.16049382716","97.735533","DERIVED","experiments/phase7_omerge_instruction/formal/performance.csv","Control window minus engine busy; not separate counter"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","rvv_update_cycles","7942","7813","cycle","1.0165109433","1.624276","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Common RVV path"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","merge_cycles","16548","12915","cycle","1.281300813008","21.954315","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv",""
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","native_core_cycles","510991","507795","cycle","1.006293878435","0.625451","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","Setup excluded"
"omerge_control","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","setup_inclusive_cycles","510991","508702","cycle","1.00449968744","0.447953","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv",""
"omerge_correctness","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","omerge_count","0","1","command","","","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","selector toggles=1; errors/timeouts=0"
"omerge_correctness","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","omerge_count","0","3","command","","","SUPPORTED","experiments/phase7_omerge_instruction/formal/performance.csv","selector toggles=3; errors/timeouts=0"
"omerge_correctness","Phase7B formal recovery","N8_D32_A1","A1-MMIO vs A1-ISA","final_o_hash","0x9c7cdedc","0x9c7cdedc","hash","","","EXACT","experiments/phase7_omerge_instruction/formal/numerical_agreement.csv","word-for-word equal; pairwise MAE/stable/cosine=0/0/1"
"omerge_correctness","Phase7B formal recovery","N16_D64_A1","A1-MMIO vs A1-ISA","final_o_hash","0xfd0d2cff","0xfd0d2cff","hash","","","EXACT","experiments/phase7_omerge_instruction/formal/numerical_agreement.csv","word-for-word equal; pairwise MAE/stable/cosine=0/0/1"
"omcfg_setup","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","setup_cycles","991","659","cycle","1.503793626707","33.501514","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Nine fields + one INIT"
"omcfg_setup","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","native_core_cycles","72636","72636","cycle","1.0","0.0","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","No steady-state gain"
"omcfg_setup","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","setup_inclusive_cycles","73627","73295","cycle","1.004529640494","0.450922","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv",""
"omcfg_setup","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","merge_cycles","1694","1694","cycle","1.0","0.0","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv",""
"omcfg_setup","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","rvv_update_cycles","808","808","cycle","1.0","0.0","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Common RVV path"
"omcfg_setup","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","setup_cycles","986","632","cycle","1.560126582278","35.902637","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Nine fields + one INIT"
"omcfg_setup","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","native_core_cycles","507464","507476","cycle","0.999976353562","-0.002365","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","OMCFG +12 cycles; no steady-state claim"
"omcfg_setup","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","setup_inclusive_cycles","508450","508108","cycle","1.00067308525","0.067263","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv",""
"omcfg_setup","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","merge_cycles","13013","12983","cycle","1.002310714011","0.230539","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Small matched-run variation"
"omcfg_setup","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","rvv_update_cycles","7905","7875","cycle","1.003809523810","0.379507","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Common RVV path; small matched-run variation"
"omcfg_correctness","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","configuration_commands","9 MMIO writes + 1 INIT","10 OMCFG including INIT","command","","","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Both establish identical nine-field state"
"omcfg_correctness","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","configuration_commands","9 MMIO writes + 1 INIT","10 OMCFG including INIT","command","","","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Both establish identical nine-field state"
"omcfg_correctness","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","omerge_start_done_toggle_counts","1/1/1/1","1/1/1/1","count tuple","","","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Errors/timeouts/exit code all zero"
"omcfg_correctness","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","omerge_start_done_toggle_counts","3/3/3/3","3/3/3/3","count tuple","","","SUPPORTED","experiments/phase8c_omcfg_runtime/matched_results.csv","Errors/timeouts/exit code all zero"
"omcfg_correctness","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","final_o_hash","0x9c7cdedc","0x9c7cdedc","hash","","","EXACT","experiments/phase8c_omcfg_runtime/correctness.md","256 FP32 words; MAE/stable/cosine=0/0/1; nonfinite=0"
"omcfg_correctness","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","final_o_hash","0xfd0d2cff","0xfd0d2cff","hash","","","EXACT","experiments/phase8c_omcfg_runtime/correctness.md","1024 FP32 words; MAE/stable/cosine=0/0/1; nonfinite=0"
"omcfg_correctness","Phase8C formal","N8_D32_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","config_state_sha256","31a112541234a811901899f55413724b33811aac8b09921b7082a0bb3762a89a","31a112541234a811901899f55413724b33811aac8b09921b7082a0bb3762a89a","sha256","","","EXACT","experiments/phase8c_omcfg_runtime/correctness.md","cfg_valid=1 and selector=0 after INIT"
"omcfg_correctness","Phase8C formal","N16_D64_S1","MMIO-config+OMERGE vs OMCFG-config+OMERGE","config_state_sha256","9d07df611b831de36d6e0811b9a78c218923fe2e5f46205992d1f71feadcfd24","9d07df611b831de36d6e0811b9a78c218923fe2e5f46205992d1f71feadcfd24","sha256","","","EXACT","experiments/phase8c_omcfg_runtime/correctness.md","cfg_valid=1 and selector=0 after INIT"
"mixed_numerical","Phase3 frozen","FP16 positive finite domain","reciprocal vs exact","maximum_relative_error","","0.00006696581840504825","ratio","","","SUPPORTED","experiments/phase1_online_softmax/results/phase3_reciprocal_model/report.md","31743 denominators"
"mixed_numerical","Phase3 frozen","257-point mantissa probe","reciprocal vs exact","maximum_relative_error","","0.0000729701714589503","ratio","","","SUPPORTED","experiments/phase1_online_softmax/results/phase3_reciprocal_model/report.md",""
