kind,config,N,D,C0,Cs,Cv,R_squared,measured_cycles,fitted_cycles,Cstall_cycles,crossover_pair,crossover_D,workload,note
parameter,B2R_RVV,,,161.35382260160452,1471.8187127369117,2.2670632230802998,0.999802230029,,,,,,,
parameter,A1_SMU_SCALAR,,,1382.7702457972362,90.278155413445177,2.1260101484524192,0.999275821160,,,,,,,
parameter,A2_SMU_FULL,,,1285.5770845769534,19.317262422475853,8.0294646722019518,0.999987010929,,,,,,,
point,B2R_RVV,1,1,,,,,1719,1635.439599,83.560401,,,,
point,B2R_RVV,1,8,,,,,1757,1651.309041,105.690959,,,,
point,B2R_RVV,1,16,,,,,1709,1669.445547,39.554453,,,,
point,B2R_RVV,1,32,,,,,1728,1705.718558,22.281442,,,,
point,B2R_RVV,1,64,,,,,1760,1778.264582,-18.264582,,,,
point,B2R_RVV,2,1,,,,,3095,3109.525375,-14.525375,,,,
point,B2R_RVV,2,8,,,,,3062,3141.264260,-79.264260,,,,
point,B2R_RVV,2,16,,,,,3116,3177.537271,-61.537271,,,,
point,B2R_RVV,2,32,,,,,3285,3250.083294,34.916706,,,,
point,B2R_RVV,2,64,,,,,3323,3395.175341,-72.175341,,,,
point,B2R_RVV,4,1,,,,,5946,6057.696926,-111.696926,,,,
point,B2R_RVV,4,8,,,,,6069,6121.174697,-52.174697,,,,
point,B2R_RVV,4,16,,,,,6107,6193.720720,-86.720720,,,,
point,B2R_RVV,4,32,,,,,6355,6338.812766,16.187234,,,,
point,B2R_RVV,4,64,,,,,6632,6628.996859,3.003141,,,,
point,B2R_RVV,8,1,,,,,11832,11954.040030,-122.040030,,,,
point,B2R_RVV,8,8,,,,,12152,12080.995571,71.004429,,,,
point,B2R_RVV,8,16,,,,,12453,12226.087617,226.912383,,,,
point,B2R_RVV,8,32,,,,,12756,12516.271710,239.728290,,,,
point,B2R_RVV,8,64,,,,,13131,13096.639895,34.360105,,,,
point,B2R_RVV,8,128,,,,,14382,14257.376265,124.623735,,,,
point,B2R_RVV,16,64,,,,,25485,26031.925967,-546.925967,,,,
point,B2R_RVV,32,64,,,,,52066,51902.498111,163.501889,,,,
point,A1_SMU_SCALAR,1,1,,,,,1488,1475.174411,12.825589,,,,
point,A1_SMU_SCALAR,1,8,,,,,1483,1490.056482,-7.056482,,,,
point,A1_SMU_SCALAR,1,16,,,,,1540,1507.064564,32.935436,,,,
point,A1_SMU_SCALAR,1,32,,,,,1539,1541.080726,-2.080726,,,,
point,A1_SMU_SCALAR,1,64,,,,,1610,1609.113051,0.886949,,,,
point,A1_SMU_SCALAR,2,1,,,,,1591,1567.578577,23.421423,,,,
point,A1_SMU_SCALAR,2,8,,,,,1582,1597.342719,-15.342719,,,,
point,A1_SMU_SCALAR,2,16,,,,,1637,1631.358881,5.641119,,,,
point,A1_SMU_SCALAR,2,32,,,,,1670,1699.391206,-29.391206,,,,
point,A1_SMU_SCALAR,2,64,,,,,1815,1835.455856,-20.455856,,,,
point,A1_SMU_SCALAR,4,1,,,,,1858,1752.386908,105.613092,,,,
point,A1_SMU_SCALAR,4,8,,,,,1789,1811.915192,-22.915192,,,,
point,A1_SMU_SCALAR,4,16,,,,,1839,1879.947517,-40.947517,,,,
point,A1_SMU_SCALAR,4,32,,,,,2053,2016.012166,36.987834,,,,
point,A1_SMU_SCALAR,4,64,,,,,2325,2288.141465,36.858535,,,,
point,A1_SMU_SCALAR,8,1,,,,,2164,2122.003570,41.996430,,,,
point,A1_SMU_SCALAR,8,8,,,,,2171,2241.060139,-70.060139,,,,
point,A1_SMU_SCALAR,8,16,,,,,2360,2377.124788,-17.124788,,,,
point,A1_SMU_SCALAR,8,32,,,,,2632,2649.254087,-17.254087,,,,
point,A1_SMU_SCALAR,8,64,,,,,3192,3193.512685,-1.512685,,,,
point,A1_SMU_SCALAR,8,128,,,,,4280,4282.029881,-2.029881,,,,
point,A1_SMU_SCALAR,16,64,,,,,4896,5004.255124,-108.255124,,,,
point,A1_SMU_SCALAR,32,64,,,,,8683,8625.740003,57.259997,,,,
point,A2_SMU_FULL,1,1,,,,,1338,1312.923812,25.076188,,,,
point,A2_SMU_FULL,1,8,,,,,1380,1369.130064,10.869936,,,,
point,A2_SMU_FULL,1,16,,,,,1433,1433.365782,-0.365782,,,,
point,A2_SMU_FULL,1,32,,,,,1555,1561.837217,-6.837217,,,,
point,A2_SMU_FULL,1,64,,,,,1825,1818.780086,6.219914,,,,
point,A2_SMU_FULL,2,1,,,,,1337,1340.270539,-3.270539,,,,
point,A2_SMU_FULL,2,8,,,,,1459,1452.683044,6.316956,,,,
point,A2_SMU_FULL,2,16,,,,,1588,1581.154479,6.845521,,,,
point,A2_SMU_FULL,2,32,,,,,1826,1838.097348,-12.097348,,,,
point,A2_SMU_FULL,2,64,,,,,2349,2351.983087,-2.983087,,,,
point,A2_SMU_FULL,4,1,,,,,1380,1394.963993,-14.963993,,,,
point,A2_SMU_FULL,4,8,,,,,1653,1619.789004,33.210996,,,,
point,A2_SMU_FULL,4,16,,,,,1860,1876.731873,-16.731873,,,,
point,A2_SMU_FULL,4,32,,,,,2378,2390.617612,-12.617612,,,,
point,A2_SMU_FULL,4,64,,,,,3412,3418.389090,-6.389090,,,,
point,A2_SMU_FULL,8,1,,,,,1502,1504.350901,-2.350901,,,,
point,A2_SMU_FULL,8,8,,,,,1931,1954.000923,-23.000923,,,,
point,A2_SMU_FULL,8,16,,,,,2494,2467.886662,26.113338,,,,
point,A2_SMU_FULL,8,32,,,,,3477,3495.658140,-18.658140,,,,
point,A2_SMU_FULL,8,64,,,,,5559,5551.201096,7.798904,,,,
point,A2_SMU_FULL,8,128,,,,,9652,9662.287008,-10.287008,,,,
point,A2_SMU_FULL,16,64,,,,,9820,9816.825108,3.174892,,,,
point,A2_SMU_FULL,32,64,,,,,18353,18348.073131,4.926869,,,,
crossover,,1,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,1,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,28.484,,
crossover,,1,,,,,,,,,B2R_RVV vs A2_SMU_FULL,56.969,,
crossover,,2,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,2,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,20.252,,
crossover,,2,,,,,,,,,B2R_RVV vs A2_SMU_FULL,154.517,,
crossover,,4,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,4,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,16.136,,
crossover,,4,,,,,,,,,B2R_RVV vs A2_SMU_FULL,203.291,,
crossover,,8,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,8,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,14.078,,
crossover,,8,,,,,,,,,B2R_RVV vs A2_SMU_FULL,227.678,,
crossover,,16,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,16,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,13.049,,
crossover,,16,,,,,,,,,B2R_RVV vs A2_SMU_FULL,239.872,,
crossover,,32,,,,,,,,,B2R_RVV vs A1_SMU_SCALAR,,,
crossover,,32,,,,,,,,,A1_SMU_SCALAR vs A2_SMU_FULL,12.535,,
crossover,,32,,,,,,,,,B2R_RVV vs A2_SMU_FULL,245.969,,
workload,B2R_RVV,12,64,,,,,19856,19564.3,291.7,,,BERT,
workload,A1_SMU_SCALAR,12,64,,,,,4128,4098.9,29.1,,,BERT,
workload,A2_SMU_FULL,12,64,,,,,7704,7684.0,20.0,,,BERT,
workload,B2R_RVV,32,128,,,,,56296,56545.4,-249.4,,,Mistral,
workload,A1_SMU_SCALAR,32,128,,,,,12866,12979.8,-113.8,,,Mistral,
workload,A2_SMU_FULL,32,128,,,,,34728,34792.4,-64.4,,,Mistral,
workload,B2R_RVV,40,128,,,,,69348,70641.5,-1293.5,,,Qwen14B,
workload,A1_SMU_SCALAR,40,128,,,,,15733,15879.1,-146.1,,,Qwen14B,
workload,A2_SMU_FULL,40,128,,,,,43206,43169.1,36.9,,,Qwen14B,
