metric,scope,config,workload,old,new,delta,delta_percent
C0,scaling,B2R_RVV,,153.477363,161.35382260160452,7.876459601604523,5.132000868170065
Cs,scaling,B2R_RVV,,1594.233808,1471.8187127369117,-122.41509526308823,-7.678616188466142
Cv,scaling,B2R_RVV,,2.086684,2.2670632230803,0.18037922308029986,8.64429990742728
C0,scaling,A1_SMU_SCALAR,,1382.770246,1382.7702457972362,-2.0276388568163384e-07,-1.4663599124162369e-08
Cs,scaling,A1_SMU_SCALAR,,90.278155,90.27815541344518,4.134451785375859e-07,4.5796813031633833e-07
Cv,scaling,A1_SMU_SCALAR,,2.12601,2.126010148452419,1.4845241924632546e-07,6.982677374345627e-06
C0,scaling,A2_SMU_FULL,,1285.577085,1285.5770845769534,-4.230464583088178e-07,-3.290712499817293e-08
Cs,scaling,A2_SMU_FULL,,19.317262,19.317262422475853,4.22475853412152e-07,2.187037963310494e-06
Cv,scaling,A2_SMU_FULL,,8.029465,8.029464672201952,-3.277980482607745e-07,-4.082439468392658e-06
cycles,workload,B2R_RVV,model_bert_base_heads,20785.0,19856.0,-929.0,-4.469569401010344
cycles,workload,A1_SMU_SCALAR,model_bert_base_heads,4128.0,4128.0,0.0,0.0
cycles,workload,A2_SMU_FULL,model_bert_base_heads,7704.0,7704.0,0.0,0.0
speedup,workload,A1_SMU_SCALAR,model_bert_base_heads,5.035125968992248,4.810077519379845,-0.22504844961240345,-4.469569401010351
speedup,workload,A2_SMU_FULL,model_bert_base_heads,2.697949117341641,2.57736240913811,-0.12058670820353079,-4.469569401010349
cycles,workload,B2R_RVV,model_mistral_7b_heads,59500.0,56296.0,-3204.0,-5.3848739495798315
cycles,workload,A1_SMU_SCALAR,model_mistral_7b_heads,12866.0,12866.0,0.0,0.0
cycles,workload,A2_SMU_FULL,model_mistral_7b_heads,34728.0,34728.0,0.0,0.0
speedup,workload,A1_SMU_SCALAR,model_mistral_7b_heads,4.624591947769314,4.375563500699518,-0.24902844706979632,-5.3848739495798315
speedup,workload,A2_SMU_FULL,model_mistral_7b_heads,1.7133149043999079,1.6210550564386086,-0.09225984796129927,-5.384873949579833
cycles,workload,B2R_RVV,model_qwen2_5_14b_heads,75027.0,69348.0,-5679.0,-7.569275060978048
cycles,workload,A1_SMU_SCALAR,model_qwen2_5_14b_heads,15733.0,15733.0,0.0,0.0
cycles,workload,A2_SMU_FULL,model_qwen2_5_14b_heads,43206.0,43206.0,0.0,0.0
speedup,workload,A1_SMU_SCALAR,model_qwen2_5_14b_heads,4.768766287421344,4.407805250111231,-0.36096103731011286,-7.569275060978055
speedup,workload,A2_SMU_FULL,model_qwen2_5_14b_heads,1.7364949312595472,1.6050548534925704,-0.13144007776697686,-7.56927506097805
A1_geomean_speedup,workload_geomean,A1_SMU_SCALAR,geomean,4.806510910784183,4.526920018368193,-0.2795908924159898,-5.816919957233063
A2_geomean_speedup,workload_geomean,A2_SMU_FULL,geomean,2.002233956939491,1.8857656103077807,-0.11646834663171046,-5.81691995723306
