kind,config,case_id,N,D,C0,Cs,Cv,R_squared,measured_cycles,fitted_cycles,Cstall_cycles,fit_point_count
point,B2R_RVV,break_even_n1_d1,1,1,,,,,1719,1635.4395985615965,83.56040143840339,
point,B2R_RVV,break_even_n1_d8,1,8,,,,,1757,1651.3090411231587,105.6909588768413,
point,B2R_RVV,break_even_n1_d16,1,16,,,,,1709,1669.4455469078011,39.5544530921989,
point,B2R_RVV,break_even_n1_d32,1,32,,,,,1728,1705.718558477086,22.281441522914097,
point,B2R_RVV,scale_d64_n1,1,64,,,,,1760,1778.2645816156555,-18.264581615655494,
point,B2R_RVV,break_even_n2_d1,2,1,,,,,3095,3109.5253745215887,-14.52537452158869,
point,B2R_RVV,break_even_n2_d8,2,8,,,,,3062,3141.264259644713,-79.2642596447129,
point,B2R_RVV,break_even_n2_d16,2,16,,,,,3116,3177.537271213998,-61.537271213997684,
point,B2R_RVV,break_even_n2_d32,2,32,,,,,3285,3250.0832943525675,34.91670564743272,
point,B2R_RVV,scale_d64_n2,2,64,,,,,3323,3395.1753406297066,-72.17534062970647,
point,B2R_RVV,break_even_n4_d1,4,1,,,,,5946,6057.696926441573,-111.69692644157286,
point,B2R_RVV,break_even_n4_d8,4,8,,,,,6069,6121.174696687821,-52.17469668782125,
point,B2R_RVV,break_even_n4_d16,4,16,,,,,6107,6193.72071982639,-86.72071982639085,
point,B2R_RVV,break_even_n4_d32,4,32,,,,,6355,6338.81276610353,16.187233896469962,
point,B2R_RVV,scale_d64_n4,4,64,,,,,6632,6628.996858657809,3.0031413421915856,
point,B2R_RVV,scale_n8_d1,8,1,,,,,11832,11954.040030281541,-122.04003028154119,
point,B2R_RVV,scale_n8_d8,8,8,,,,,12152,12080.995570774037,71.00442922596201,
point,B2R_RVV,scale_n8_d16,8,16,,,,,12453,12226.087617051176,226.91238294882282,
point,B2R_RVV,scale_n8_d32,8,32,,,,,12756,12516.271709605455,239.72829039454444,
point,B2R_RVV,scale_d64_n8,8,64,,,,,13131,13096.639894714011,34.36010528598769,
point,B2R_RVV,scale_n8_d128,8,128,,,,,14382,14257.376264931127,124.62373506887418,
point,B2R_RVV,scale_d64_n16,16,64,,,,,25485,26031.92596682642,-546.9259668264201,
point,B2R_RVV,scale_d64_n32,32,64,,,,,52066,51902.49811105124,163.50188894876433,
point,A1_SMU_SCALAR,break_even_n1_d1,1,1,,,,,1488,1475.1744113591337,12.825588640866286,
point,A1_SMU_SCALAR,break_even_n1_d8,1,8,,,,,1483,1490.0564823983007,-7.056482398300648,
point,A1_SMU_SCALAR,break_even_n1_d16,1,16,,,,,1540,1507.06456358592,32.935436414079994,
point,A1_SMU_SCALAR,break_even_n1_d32,1,32,,,,,1539,1541.0807259611588,-2.0807259611587128,
point,A1_SMU_SCALAR,scale_d64_n1,1,64,,,,,1610,1609.113050711636,0.8869492883638684,
point,A1_SMU_SCALAR,break_even_n2_d1,2,1,,,,,1591,1567.5785769210313,23.421423078968687,
