case_id,evidence_class,size_class,case_kind,N,D,config,trials,status,kernel_cycles_min,kernel_cycles_median,kernel_cycles_max,cycles_per_element,elements_per_cycle,tcdm_accessed,tcdm_congested,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,memory_footprint_bytes,paper_eligible,paper_ineligible_reasons,reproducible,input_hash,binary_hash,target_result_hash,trace_witness_gate,trace_target_equivalence_gate,fsm_gate
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,A1_SMU_SCALAR,3,PASS,1488,1488,1488,1488.0,0.0006720430107526882,396,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,505ce09caba0162e7cbc5e1a9df338825a971d35aacc32ead19931d9146ab260,f4049ee6d1e1b91cefae3023d4f542d3acbed19ea5556189c02c584620416abf,NA,NA,PASS
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,A2_SMU_FULL,3,PASS,1338,1338,1338,1338.0,0.0007473841554559044,378,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,ff1ce0103df7694b51d6146f7710c95628c8b2b86d64a7ef690a828c9f27cdf6,ff78879508c2a070a70ab088d5b9c1c1ba07e58713a5918d5027c3929e0b5e47,NA,NA,PASS
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,B2R_RVV,3,PASS,1719,1719,1719,1719.0,0.0005817335660267597,117,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,2fdae62fbb0d2a3dd5969b4a35cb9bbabc52f29bf369b708ccb3a44f8f328acd,351d49d778cd6886bdef24d5ff50ed6b28538384f8d3fa06e2774d3f7408116c,PASS,PASS,NA
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,A1_SMU_SCALAR,3,PASS,1540,1540,1540,96.25,0.01038961038961039,417,0,1.9073486328125e-06,1.9073486328125e-06,1.0132789611816406e-06,1.0458500553287096e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,90f5503fd36d7cea24200c2280150522547a5f4a2e90af30b746ae6fcc497c04,1d18c3341d8ad595b2241b3be754dbc16a6d9dbcff3c85ebbf8e85aa88edfca4,NA,NA,PASS
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,A2_SMU_FULL,3,PASS,1433,1433,1433,89.5625,0.011165387299371946,446,1,1.9073486328125e-06,1.9073486328125e-06,1.0050005382961697e-06,1.0384381733662242e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,891c0cdc46b3e3c6be1c4de00b07940b3e93e34676a02048d9534ff1bf1f5e6f,9c9b5ec55e618c54565586d63c300aa5436180913e74dcf4590e521a7964f131,NA,NA,PASS
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,B2R_RVV,3,PASS,1709,1709,1709,106.8125,0.009362200117027502,138,0,1.9073486328125e-06,1.9073486328125e-06,1.0132789611816406e-06,1.0458500553287096e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,9f7ee663295f96acba8b571bc29279c5cff5b893bb24ad5a5821f791fdceb3ba,aa6328177238d386c5c3533b0102ceb3e20b907b14741d8cfe4f2fcd825016ba,PASS,PASS,NA
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,A1_SMU_SCALAR,3,PASS,1539,1539,1539,48.09375,0.02079272254710851,441,0,1.9073486328125e-06,1.9073486328125e-06,9.374583468717688e-07,1.2327408897041608e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,c8a36f5d9a19145f1c9490771357190fc19c01fcf5d10ed318691bb3f64b71f0,64e3c56a7bba94a870c9b8e9c156da6bb11280d6002c635462d2f49b9636c882,NA,NA,PASS
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,A2_SMU_FULL,3,PASS,1555,1555,1555,48.59375,0.020578778135048232,516,1,1.9073486328125e-06,1.9073486328125e-06,9.29569496827967e-07,1.2227309280649424e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,3af3e978a8d125c6587b8a4a53a6464c44a6ed8a9eba7b030a6f19eb9ab8cde8,6c4aebc3c63cdf8ff9ed45877e305072f8d3784c598407faac4485d31a76a88e,NA,NA,PASS
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,B2R_RVV,3,PASS,1728,1728,1728,54.0,0.018518518518518517,162,0,1.9073486328125e-06,1.9073486328125e-06,9.374583468717688e-07,1.2327408897041608e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,a80c21acad4b427668b477eb202e664895b45bf64cc9045ce8d724e8ee38e059,725b7a75ab2a5a70d0b77b293da78ab3d1e9234b79947f317f617c037ab93f15,PASS,PASS,NA
break_even_n1_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,1,8,A1_SMU_SCALAR,3,PASS,1483,1483,1483,185.375,0.005394470667565745,405,0,1.9073486328125e-06,1.9073486328125e-06,9.953975677490234e-07,8.580477502713649e-07,16768,YES,NA,YES,06d68f478fb0abb6fe7f4d9b035780cd1093ee8d318bcd4dc0009e1e637603f3,1e8857af67c9bc69be3c46483ba1561ab5c2731ba8123fc66224ee61601727c0,f6b0ba7cd60513e20f6eb4eecef4d2084fc68496c2ef37dee7aa6908083183df,NA,NA,PASS
