N,D,measurement_status,B2R_RVV_cycles,A2_SMU_FULL_cycles,A2_le_B2R,speedup_A2_vs_B2R
1,1,MEASURED,1768,1338,True,1.3213751868460388
1,8,MEASURED,1841,1380,True,1.3340579710144929
1,16,MEASURED,1875,1433,True,1.30844382414515
1,32,MEASURED,1873,1555,True,1.2045016077170418
2,1,MEASURED,3240,1337,True,2.423335826477188
2,8,MEASURED,3332,1459,True,2.283755997258396
2,16,MEASURED,3326,1588,True,2.0944584382871536
2,32,MEASURED,3290,1826,True,1.801752464403067
4,1,MEASURED,6450,1380,True,4.673913043478261
4,8,MEASURED,6506,1653,True,3.9358741681790685
4,16,MEASURED,6746,1860,True,3.6268817204301076
4,32,MEASURED,6664,2378,True,2.802354920100925
8,1,MEASURED,13014,1502,True,8.66444740346205
8,8,MEASURED,13159,1931,True,6.814603832211289
8,16,MEASURED,13128,2494,True,5.2638331996792305
8,32,MEASURED,13514,3477,True,3.8866839229220593
