case_id,evidence_class,size_class,case_kind,N,D,config,trials,status,kernel_cycles_min,kernel_cycles_median,kernel_cycles_max,cycles_per_element,elements_per_cycle,tcdm_accessed,tcdm_congested,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,memory_footprint_bytes,paper_eligible,paper_ineligible_reasons,reproducible,input_hash,binary_hash,target_result_hash,trace_witness_gate,trace_target_equivalence_gate,fsm_gate
capacity_d64_n48,CAPACITY_PROBE,CAPACITY_PROBE,main,48,64,A1_SMU_SCALAR,3,PASS,12327,12327,12327,4.0126953125,0.24920905329763932,6000,2,0.0008955001831054688,0.00016185392734602858,7.032795404695501e-06,2.7027223927772593e-05,67712,NO,CAPACITY_PROBE_ONLY,YES,6a146db8196ab04bb47370ef85aaf60a61644db586c63dbff99d01c085c88d95,abd66797d9fd408fa0ec48b3f75cd19b3f521ca068e78592617f6faabaa1b3fe,b836c855c30b0b2ce995139c0dc92751c5c649b2eb884017877057f090ce8fcf,NA,NA,PASS
capacity_d64_n48,CAPACITY_PROBE,CAPACITY_PROBE,main,48,64,A2_SMU_FULL,3,PASS,26847,26847,26847,8.7392578125,0.11442619287071182,14574,114,0.0008955001831054688,0.00016185392734602858,7.032790701046134e-06,2.70273283801324e-05,67712,NO,CAPACITY_PROBE_ONLY,YES,6a146db8196ab04bb47370ef85aaf60a61644db586c63dbff99d01c085c88d95,90f67e05b493ad52622a9576750ca3af903fbe0645482f16be89a2d894089c0e,0f6d7535aeba6df71cf4c60ee45be9e76c4aca81804bb7536b372fece92649e9,NA,NA,PASS
capacity_d64_n48,CAPACITY_PROBE,CAPACITY_PROBE,main,48,64,B1_SCALAR,3,PASS,1107986,1107986,1107986,360.6725260416667,0.0027725982097246715,12027,0,0.0008955001831054688,0.00016185392734602858,7.032790701046134e-06,2.70273283801324e-05,67712,NO,CAPACITY_PROBE_ONLY,YES,6a146db8196ab04bb47370ef85aaf60a61644db586c63dbff99d01c085c88d95,647127b922a972823f1340a2c2161a3294658d58d6f420e454e50d1ca838670e,411818a4521e59d68cebf4ecd22c771d0c0384c4c4751a52851628a445f89a19,NA,NA,NA
capacity_d64_n48,CAPACITY_PROBE,CAPACITY_PROBE,main,48,64,B2R_RVV,3,PASS,82607,82607,82607,26.890299479166668,0.03718813175638869,6839,0,0.0008955001831054688,0.00016185392734602858,7.032795404695501e-06,2.7027223927772593e-05,67712,NO,CAPACITY_PROBE_ONLY,YES,6a146db8196ab04bb47370ef85aaf60a61644db586c63dbff99d01c085c88d95,1b7c6a7a8ef82e855506e4af16d36432a4515981c6b7e46669fc5b57ef5c1dd2,7d3b7075e781f5e03fc43a2cbde3798da45c364dee6bf85309953d1395437b91,PASS,PASS,NA
capacity_d64_n64,CAPACITY_PROBE,CAPACITY_PROBE,main,64,64,A1_SMU_SCALAR,3,PASS,15980,15980,15980,3.9013671875,0.25632040050062577,7880,8,0.0011491775512695312,0.00016354133076227362,8.066500551208403e-06,3.417534189535289e-05,84608,NO,CAPACITY_PROBE_ONLY,YES,39fbcf2901f9e00c45badddfc755ccc8878ab319f83f4b9b76e6be0a221bd619,c6a0ffaf510f1c2b0c756727b632719a30efc8c8af55c08e578de38fc9bdab98,4eab117e6f091ff5b2e4b4e6e4911ea484b024f7bfdceea4a2154bcc38badac5,NA,NA,PASS
capacity_d64_n64,CAPACITY_PROBE,CAPACITY_PROBE,main,64,64,A2_SMU_FULL,3,PASS,35428,35428,35428,8.6494140625,0.11561476798012871,19322,154,0.0011491775512695312,0.00016354133076227362,8.067215799890233e-06,3.417551653621011e-05,84608,NO,CAPACITY_PROBE_ONLY,YES,39fbcf2901f9e00c45badddfc755ccc8878ab319f83f4b9b76e6be0a221bd619,55bec2fd5ec6ef359c7db1b984787a60bc81b87ea101151d8a7dab8d4a1e9e4d,b09c86c7cf5c8fdaf0e23af19de5fb95987834c5ba120b1b93d9e4e1b9f336b2,NA,NA,PASS
capacity_d64_n64,CAPACITY_PROBE,CAPACITY_PROBE,main,64,64,B1_SCALAR,3,PASS,1449300,1449300,1449300,353.8330078125,0.0028261919547367693,16011,0,0.0011491775512695312,0.00016354133076227362,8.067215799890233e-06,3.417551653621011e-05,84608,NO,CAPACITY_PROBE_ONLY,YES,39fbcf2901f9e00c45badddfc755ccc8878ab319f83f4b9b76e6be0a221bd619,b8c285501fcc6763f26c9ea261d2bbb4c49814afe2590570f39adba16a693219,81c391560988ffd96ed3dfa3f5592f99a4c024b3810fc462ba2c27ed52e68565,NA,NA,NA
capacity_d64_n64,CAPACITY_PROBE,CAPACITY_PROBE,main,64,64,B2R_RVV,3,PASS,109832,109832,109832,26.814453125,0.037293320707990386,9095,0,0.0011491775512695312,0.00016354133076227362,8.066500551208403e-06,3.417534189535289e-05,84608,NO,CAPACITY_PROBE_ONLY,YES,39fbcf2901f9e00c45badddfc755ccc8878ab319f83f4b9b76e6be0a221bd619,7fbf5f3f7063b11f829ee145f959493907602a75dac382a3d9d0106d096c96ee,ef637f8d5c6a73dffb29b770cb3596d1dc0574ae96a1f62e5b75c329b5ca4cdc,PASS,PASS,NA
capacity_d64_n80,CAPACITY_PROBE,CAPACITY_PROBE,main,80,64,A1_SMU_SCALAR,3,PASS,19669,19669,19669,3.8416015625,0.2603080990390971,9762,5,0.0011491775512695312,0.00016354133076227362,8.9182292647434e-06,3.52951438152262e-05,101760,NO,CAPACITY_PROBE_ONLY,YES,0e8a4b8d7323a91836cc7ef1e94199f7c4ba4c0c578224b4a48bd3c47e0363b6,3c3eeb46d55f88daeeb04c471671cc42ed0cb0666329a8e3c80414e26dfd562e,79f1c7e149c7858b79be6691a5979f52b4885bdc4d5e78f290cbfe37bb35493c,NA,NA,PASS
capacity_d64_n80,CAPACITY_PROBE,CAPACITY_PROBE,main,80,64,A2_SMU_FULL,3,PASS,43936,43936,43936,8.58125,0.11653313911143481,24059,194,0.0011491775512695312,0.00016354133076227362,8.919479494745081e-06,3.529529960968646e-05,101760,NO,CAPACITY_PROBE_ONLY,YES,0e8a4b8d7323a91836cc7ef1e94199f7c4ba4c0c578224b4a48bd3c47e0363b6,efce9476e13c466b5723fd09a0cc119885e590cc7cb1ba81c7aa282a9c0efee2,44ec0bbea9c3c580700272b10c6e931a9891f2a0fd17d144387c436044a1320a,NA,NA,PASS
