config,case_id,N,D,measured_cycles,fitted_cycles,Cstall_residual_cycles,Cstall_numerator,Cstall_denominator
B2R_RVV,break_even_n1_d1,1,1,1768,1749.7978552433183,18.202144756681747,47183821395,2592212183
B2R_RVV,break_even_n1_d16,1,16,1875,1781.0981220403823,93.90187795961764,44257016737,471311306
B2R_RVV,break_even_n1_d32,1,32,1873,1814.485073290584,58.5149267094159,303366211807,5184424366
B2R_RVV,break_even_n1_d8,1,8,1841,1764.4046464152816,76.5953535847185,397102817447,5184424366
B2R_RVV,break_even_n2_d1,2,1,3240,3346.1183477458026,-106.11834774580257,-550162547733,5184424366
B2R_RVV,break_even_n2_d16,2,16,3326,3408.7188813399307,-82.7188813399308,-428849783947,5184424366
B2R_RVV,break_even_n2_d32,2,32,3290,3475.492783840334,-185.49278384033425,-961673308259,5184424366
B2R_RVV,break_even_n2_d8,2,8,3332,3375.331930089729,-43.33193008972908,-224651114183,5184424366
B2R_RVV,break_even_n4_d1,4,1,6450,6538.759332750771,-88.7593327507712,-460166047423,5184424366
B2R_RVV,break_even_n4_d16,4,16,6746,6663.960399939027,82.03960006097232,425328101533,5184424366
B2R_RVV,break_even_n4_d32,4,32,6664,6797.508204939834,-133.5082049398346,-692163190751,5184424366
B2R_RVV,break_even_n4_d8,4,8,6506,6597.186497438624,-91.18649743862422,-472749499171,5184424366
B2R_RVV,scale_d64_n1,1,64,2011,1881.2589757909875,129.74102420901244,672632527179,5184424366
B2R_RVV,scale_d64_n16,16,64,27765,27797.983171543292,-32.98317154329183,-170998758217,5184424366
B2R_RVV,scale_d64_n2,2,64,3623,3609.040588841141,13.959411158858828,72371511347,5184424366
B2R_RVV,scale_d64_n32,32,64,55424,55442.48898034575,-18.48898034574973,-95854720207,5184424366
B2R_RVV,scale_d64_n4,4,64,7065,7064.603814941448,0.39618505855159003,2053991471,5184424366
B2R_RVV,scale_d64_n8,8,64,13995,13975.730267142062,19.269732857937115,99902472555,5184424366
B2R_RVV,scale_n8_d1,8,1,13014,12924.041302760708,89.95869723929154,466384061901,5184424366
B2R_RVV,scale_n8_d128,8,128,15100,15044.112707148519,55.887292851481824,289743442809,5184424366
B2R_RVV,scale_n8_d16,8,16,13128,13174.44343713722,-46.443437137221416,-240782487135,5184424366
B2R_RVV,scale_n8_d32,8,32,13514,13441.539047138835,72.46095286116476,34151666327,471311306
B2R_RVV,scale_n8_d8,8,8,13159,13040.895632136415,118.1043678635855,612303162483,5184424366
A2_SMU_FULL,break_even_n1_d1,1,1,1338,1312.9238116716313,25.076188328368797,65002800888,2592212183
A2_SMU_FULL,break_even_n1_d16,1,16,1433,1433.3657817546605,-0.36578175466047486,-344794153,942622612
A2_SMU_FULL,break_even_n1_d32,1,32,1555,1561.8372165098917,-6.837216509891698,-70894063739,10368848732
A2_SMU_FULL,break_even_n1_d8,1,8,1380,1369.1300643770448,10.869935622955136,112708718201,10368848732
A2_SMU_FULL,break_even_n2_d1,2,1,1337,1340.270538766309,-3.270538766309008,-8477930435,2592212183
A2_SMU_FULL,break_even_n2_d16,2,16,1588,1581.1544789323675,6.845521067632449,35490086221,5184424366
A2_SMU_FULL,break_even_n2_d32,2,32,1826,1838.09734844283,-12.097348442829999,-62717788031,5184424366
A2_SMU_FULL,break_even_n2_d8,2,8,1459,1452.6830441771363,6.3169558228636715,32749779687,5184424366
A2_SMU_FULL,break_even_n4_d1,4,1,1380,1394.9639929556647,-14.963992955664617,-38789844846,2592212183
A2_SMU_FULL,break_even_n4_d16,4,16,1860,1876.7318732877818,-16.731873287781706,-43372565781,2592212183
A2_SMU_FULL,break_even_n4_d32,4,32,2378,2390.6176123087066,-12.617612308706597,-32707528347,2592212183
A2_SMU_FULL,break_even_n4_d8,4,8,1653,1619.7890037773193,33.21099622268074,86089949018,2592212183
A2_SMU_FULL,scale_d64_n1,1,64,1825,1818.7800860203542,6.219913979645855,64493347181,10368848732
A2_SMU_FULL,scale_d64_n16,16,64,9820,9816.825107671366,3.174892328634658,8229994574,2592212183
A2_SMU_FULL,scale_d64_n2,2,64,2349,2351.983087463755,-2.983087463754891,-15465591333,5184424366
A2_SMU_FULL,scale_d64_n32,32,64,18353,18348.073130765777,4.926869234222714,12771490453,2592212183
A2_SMU_FULL,scale_d64_n4,4,64,3412,3418.389090350556,-6.389090350556384,-16561877845,2592212183
A2_SMU_FULL,scale_d64_n8,8,64,5559,5551.201096124159,7.7989038758406295,20216413641,2592212183
A2_SMU_FULL,scale_n8_d1,8,1,1502,1504.3509013343757,-2.3509013343758363,-6094035080,2592212183
A2_SMU_FULL,scale_n8_d128,8,128,9652,9662.287008291558,-10.287008291558516,-26666108220,2592212183
A2_SMU_FULL,scale_n8_d16,8,16,2494,2467.88666199861,26.113338001389987,67691312906,2592212183
A2_SMU_FULL,scale_n8_d32,8,32,3477,3495.65814004046,-18.6581400404598,-4396896175,235655653
A2_SMU_FULL,scale_n8_d8,8,8,1931,1954.0009229776851,-23.000922977685118,-59623272763,2592212183
