case_id,evidence_class,size_class,case_kind,N,D,config,trials,status,kernel_cycles_min,kernel_cycles_median,kernel_cycles_max,cycles_per_element,elements_per_cycle,tcdm_accessed,tcdm_congested,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,memory_footprint_bytes,paper_eligible,paper_ineligible_reasons,reproducible,input_hash,binary_hash,target_result_hash,trace_witness_gate,trace_target_equivalence_gate,fsm_gate
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,A1_SMU_SCALAR,3,PASS,1488,1488,1488,1488.0,0.0006720430107526882,396,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,fe24e27005287653c7a8d1d464f05ba7d6631187f76e547a78363a8c09521ae0,f4049ee6d1e1b91cefae3023d4f542d3acbed19ea5556189c02c584620416abf,NA,NA,PASS
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,A2_SMU_FULL,3,PASS,1338,1338,1338,1338.0,0.0007473841554559044,378,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,e93d0b16d0e8c03209c440dcf2b9ea7f15b7a314064b098da1c7047925c8f676,ff78879508c2a070a70ab088d5b9c1c1ba07e58713a5918d5027c3929e0b5e47,NA,NA,PASS
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,B1_SCALAR,3,PASS,2065,2065,2065,2065.0,0.00048426150121065375,133,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,1ba3eb0f3a3a18907dcd74d6bc018454b6f9500d22ac2911112dccee6e6b65b1,df43711fc01b82ff4cf955ba337a7adf938c4744e6f621920e004ec1953ce130,NA,NA,NA
break_even_n1_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,1,1,B2R_RVV,3,PASS,1768,1768,1768,1768.0,0.0005656108597285068,117,0,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,16768,YES,NA,YES,9d2d7b5a01325e3a0b252f9c9ba34371b2a01c2103351f1c6d5bae30afa62286,9e1a81be8bd8c99fbdcdfd2f9f8664594674e3ecabdfa01bbb2086b672e08e9d,d04014fdb4ea2e2172e18402dda412a45f5813277d566de99e64dd114b56db82,PASS,PASS,NA
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,A1_SMU_SCALAR,3,PASS,1540,1540,1540,96.25,0.01038961038961039,417,0,1.9073486328125e-06,1.9073486328125e-06,1.0132789611816406e-06,1.0458500553287096e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,6b95f8b40f19229bf013189dc250d62bdc1099a89be77016698ca5984c2f9eb0,1d18c3341d8ad595b2241b3be754dbc16a6d9dbcff3c85ebbf8e85aa88edfca4,NA,NA,PASS
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,A2_SMU_FULL,3,PASS,1433,1433,1433,89.5625,0.011165387299371946,446,1,1.9073486328125e-06,1.9073486328125e-06,1.0050005382961697e-06,1.0384381733662242e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,4ee6fa484dee5b82eb2e445b37aada332f6dc4afb5f0d921f3c99233ca0cef06,9c9b5ec55e618c54565586d63c300aa5436180913e74dcf4590e521a7964f131,NA,NA,PASS
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,B1_SCALAR,3,PASS,7433,7433,7433,464.5625,0.002152562895197094,178,0,1.9073486328125e-06,1.9073486328125e-06,1.0050005382961697e-06,1.0384381733662242e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,7f397d03a40cb3bc2ff5966933a2a0184558a668617540e4caa02cd7287d05d1,a67d0bd47708811a1f4c8b5aff330c15f71eff3b7cc987599de95888555e4125,NA,NA,NA
break_even_n1_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,1,16,B2R_RVV,3,PASS,1875,1875,1875,117.1875,0.008533333333333334,138,0,1.9073486328125e-06,1.9073486328125e-06,1.0132789611816406e-06,1.0458500553287096e-06,17024,YES,NA,YES,c3e6a6aee66ec01f6a49129e14ef65fc8b44d0ae8bfe259ce873ee8cddeb0758,fa12848d8df2774aeeb30bc51c662a2e962005cebf6de27eab6d0530bad3aa4f,2f664e621095eb232ab72293b172816dfb3edda5c627fb28204cc897ca0c74bc,PASS,PASS,NA
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,A1_SMU_SCALAR,3,PASS,1539,1539,1539,48.09375,0.02079272254710851,441,0,1.9073486328125e-06,1.9073486328125e-06,9.374583468717688e-07,1.2327408897041608e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,f935a3f9f8c0b6cd0b62f147126f1be56dc54d26d90fd88a9a2e5fba8c2210db,64e3c56a7bba94a870c9b8e9c156da6bb11280d6002c635462d2f49b9636c882,NA,NA,PASS
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,A2_SMU_FULL,3,PASS,1555,1555,1555,48.59375,0.020578778135048232,516,1,1.9073486328125e-06,1.9073486328125e-06,9.29569496827967e-07,1.2227309280649424e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,15c0d5b813e36bde949c6629c25e00b66433a802a6191f4090a4b16bdaf114c3,6c4aebc3c63cdf8ff9ed45877e305072f8d3784c598407faac4485d31a76a88e,NA,NA,PASS
