config_id,cell_type,count
C1_SCALAR,AND2_X1,1083
C1_SCALAR,AND3_X1,755
C1_SCALAR,AND4_X1,164
C1_SCALAR,AOI211_X1,245
C1_SCALAR,AOI21_X1,9328
C1_SCALAR,AOI22_X1,345
C1_SCALAR,DFFR_X1,519
C1_SCALAR,DFFS_X1,1
C1_SCALAR,INV_X1,8410
C1_SCALAR,MUX2_X1,793
C1_SCALAR,NAND2_X1,16084
C1_SCALAR,NAND3_X1,4047
C1_SCALAR,NAND4_X1,1130
C1_SCALAR,NOR2_X1,7352
C1_SCALAR,NOR3_X1,1284
C1_SCALAR,NOR4_X1,425
C1_SCALAR,OAI211_X1,1980
C1_SCALAR,OAI21_X1,8868
C1_SCALAR,OAI221_X1,108
C1_SCALAR,OAI22_X1,133
C1_SCALAR,OR2_X1,501
C1_SCALAR,OR3_X1,58
C1_SCALAR,OR4_X1,29
C1_SCALAR,XNOR2_X1,6779
C1_SCALAR,XOR2_X1,3084
C2_FULL,AND2_X1,1819
C2_FULL,AND3_X1,836
C2_FULL,AND4_X1,217
C2_FULL,AOI211_X1,353
C2_FULL,AOI21_X1,11622
C2_FULL,AOI22_X1,371
C2_FULL,DFFR_X1,618
C2_FULL,DFFS_X1,1
C2_FULL,INV_X1,11034
C2_FULL,MUX2_X1,1062
C2_FULL,NAND2_X1,22354
C2_FULL,NAND3_X1,4616
C2_FULL,NAND4_X1,1476
C2_FULL,NOR2_X1,13663
C2_FULL,NOR3_X1,2321
C2_FULL,NOR4_X1,533
C2_FULL,OAI211_X1,2172
C2_FULL,OAI21_X1,11172
C2_FULL,OAI221_X1,92
C2_FULL,OAI22_X1,136
C2_FULL,OR2_X1,740
C2_FULL,OR3_X1,63
C2_FULL,OR4_X1,30
C2_FULL,XNOR2_X1,12764
C2_FULL,XOR2_X1,7307
