config,config_alias,N,D,seed,input_pattern,size_class,trials,kernel_cycles,status,reproducible,retired_instructions,retired_accelerator_instructions,dynamic_vector_instructions,scalar_instructions,vector_instructions,smu_commands,tcdm_accessed,tcdm_congested,memory_footprint_bytes,end_to_end_cycles,smu_busy_cycles,smu_scalar_cycles,rvv_vector_cycles,command_and_sync_cycles,load_scalar_cycles,compute_scalar_cycles,compute_weight_cycles,store_scalar_cycles,update_vector_cycles,trace_software_scalar_cycles,trace_rvv_cycles,trace_load_store_cycles,trace_loop_control_cycles,trace_synchronization_cycles,trace_other_cycles,trace_undecoded_cycles,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,paper_eligible,paper_ineligible_reasons,smu_utilization,command_overhead_ratio,speedup_vs_B1,speedup_vs_B2R
B1_SCALAR,NA,1,1,1,main,SMALL,3,2065,PASS,YES,1194,41,0,1183,0,0,133,0,16768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,250,692,6,378,NA,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,YES,NA,NA,NA,1.0,0.8295399515738499
B2R_RVV,A0,1,1,1,main,SMALL,3,1713,PASS,YES,1070,30,6,1029,6,0,117,0,16768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,14,214,553,6,339,NA,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,YES,NA,NA,NA,1.2054874489200234,1.0
A1_SMU_SCALAR,NA,1,1,1,main,SMALL,3,1467,PASS,YES,769,2,6,879,6,1,396,0,16768,NA,24,1335,132,1443,13,1,1,9,0,NA,6,1015,226,9,248,NA,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,YES,NA,0.016359918200409,0.983640081799591,1.4076346284935242,1.1676891615541922
A2_SMU_FULL,A2,1,1,1,main,SMALL,3,1338,PASS,YES,693,0,0,818,0,1,378,0,16768,NA,29,NA,NA,1309,13,1,1,5,9,NA,NA,981,159,6,225,NA,1.2516975402832031e-06,1.2516975402832031e-06,4.172325134277344e-07,3.152311533271239e-07,YES,NA,0.021674140508221227,0.9783258594917787,1.5433482810164425,1.2802690582959642
B1_SCALAR,NA,8,32,1,main,TYPICAL,3,96853,PASS,YES,73479,3304,0,77430,0,0,1297,0,21120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35016,NA,3088,28853,6,29919,NA,0.0006031990051269531,0.00014736815617622854,1.3598973643692101e-05,4.554134736789027e-05,YES,NA,NA,NA,1.0,0.13537009695104954
B2R_RVV,A0,8,32,1,main,TYPICAL,3,13111,PASS,YES,8777,264,192,8879,192,0,813,0,21120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4630,216,1026,3668,6,3594,NA,0.0006031990051269531,0.00014736815617622854,1.359465258086429e-05,4.5539865012701725e-05,YES,NA,NA,NA,7.387155823354435,1.0
A1_SMU_SCALAR,NA,8,32,1,main,TYPICAL,3,2497,PASS,YES,1565,40,192,1561,192,1,919,1,21120,NA,192,1453,1044,2305,104,8,8,72,0,NA,192,1235,377,9,723,NA,0.0006031990051269531,0.00014736815617622854,1.359465258086429e-05,4.5539865012701725e-05,YES,NA,0.07689227072486984,0.9231077292751302,38.78774529435322,5.250700841009211
A2_SMU_FULL,A2,8,32,1,main,TYPICAL,3,3477,PASS,YES,1845,0,0,2218,0,1,1591,21,21120,NA,2227,NA,NA,1250,105,8,8,40,2066,NA,NA,2391,372,6,744,NA,0.0006031990051269531,0.00014736815617622854,1.3598973643692101e-05,4.554134736789027e-05,YES,NA,0.6404946793212539,0.359505320678746,27.85533505895887,3.7707794075352314
B1_SCALAR,NA,16,64,1,main,LARGE,3,372649,PASS,YES,281210,12752,0,296361,0,0,4057,0,33664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130082,NA,9692,114912,6,118017,NA,0.0002593994140625,0.00016185392734602858,5.093020401104833e-06,1.665997456356637e-05,YES,NA,NA,NA,1.0,0.07326465386999563
B2R_RVV,A0,16,64,1,main,LARGE,3,27302,PASS,YES,18464,592,768,18366,768,0,2325,0,33664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9346,768,1832,7397,6,8013,NA,0.0002593994140625,0.00016185392734602858,5.090996802953834e-06,1.665815918673608e-05,YES,NA,NA,NA,13.649146582667937,1.0
A1_SMU_SCALAR,NA,16,64,1,main,LARGE,3,4778,PASS,YES,3525,144,768,3033,768,1,2240,1,33664,NA,385,1685,3093,4393,208,16,16,145,0,NA,768,1521,755,9,1771,NA,0.0002593994140625,0.00016185392734602858,5.090996802953834e-06,1.665815918673608e-05,YES,NA,0.08057764755127668,0.9194223524487233,77.99267475931352,5.714106320636249
A2_SMU_FULL,A2,16,64,1,main,LARGE,3,9820,PASS,YES,5109,0,0,6378,0,1,5112,46,33664,NA,8537,NA,NA,1283,208,16,16,80,8217,NA,NA,6573,978,6,2299,NA,0.0002593994140625,0.00016185392734602858,5.093020401104833e-06,1.665997456356637e-05,YES,NA,0.8693482688391039,0.13065173116089612,37.9479633401222,2.780244399185336
