config,N,D,kernel_cycles,software_scalar_cycles,rvv_cycles,smu_scalar_compute_cycles,smu_vector_compute_cycles,memory_fsm_cycles,command_and_sync_cycles,loop_control_cycles,other_cycles,stall_or_other_cycles,breakdown_complete,breakdown_method
B1_SCALAR,1,1,2065,757.3638968481375,0.0,NA,NA,246.53772683858642,5.916905444126074,682.4164278892073,372.7650429799427,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
B2R_RVV,1,1,1713,608.2817869415808,13.735395189003436,NA,NA,209.9553264604811,5.886597938144329,542.5481099656357,332.5927835051546,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
A1_SMU_SCALAR,1,1,1467,NA,132,2,NA,22,1311,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
A2_SMU_FULL,1,1,1338,NA,NA,2,9,18,1309,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
B1_SCALAR,8,32,96853,35005.51854833715,0.0,NA,NA,3087.075659049153,5.998204000743172,28844.363338907126,29910.04424970583,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
B2R_RVV,8,32,13111,4619.781582952816,215.52328767123288,NA,NA,1023.7356164383561,5.98675799086758,3659.904718417047,3586.0680365296803,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
A1_SMU_SCALAR,8,32,2497,NA,1044,16,NA,176,1261,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
A2_SMU_FULL,8,32,3477,NA,NA,16,2066,145,1250,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
B1_SCALAR,16,64,372649,130061.05894410922,0.0,NA,NA,9690.439747899836,5.999034098988755,114893.50106383265,117998.00121005933,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
B2R_RVV,16,64,27302,9325.505884072802,766.3159125794898,NA,NA,1827.9827497989913,5.986843067027264,7380.779694466779,7995.428916014911,0.0,YES,DASM_RETIRE_INTERVAL_SCALED_TO_KERNEL_WINDOW
A1_SMU_SCALAR,16,64,4778,NA,3093,32,NA,353,1300,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
A2_SMU_FULL,16,64,9820,NA,NA,32,8217,288,1283,NA,NA,0.0,YES,FSM_AND_BOUNDARY_COUNTERS
