case,model,model_role,m_old,l_old,m_tile,l_tile,m_new,l_new,old_delta,tile_delta,old_exp,tile_exp,w_old,w_tile,weight_sum_error,vector_update_l2
equal_max,fp32,primary,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.4,0.6,2.9802322387695312e-08,0.10954452306032181
equal_max,fp16,primary,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.4,0.6,0.0,0.10980224609375
equal_max,mixed,primary,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.4,0.6,0.0,0.10978522151708603
equal_max,mixed_exact_exp,diagnostic,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.4,0.6,0.0,0.10978522151708603
equal_max,mixed_rtl_exact,diagnostic,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.39990234,0.60009766,0.0,0.10978522151708603
equal_max,mixed_rtl_reciprocal,diagnostic,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.39990234,0.60009766,0.0,0.10978522151708603
near_tie_max,fp32,primary,0.0,2.0,-0.001,1.5,0.0,3.4985008,0.0,-0.001,1.0,0.9990005,0.57167345,0.42832652,2.9802322387695312e-08,0.31358790397644043
near_tie_max,fp16,primary,0.0,2.0,-0.001,1.5,0.0,3.498,0.0,-0.001,1.0,0.999,0.572,0.4282,0.0,0.313720703125
near_tie_max,mixed,primary,0.0,2.0,-0.001,1.5,0.0,3.4767456,0.0,-0.001,1.0,0.9844971,0.575,0.4248,0.0,0.32226839661598206
near_tie_max,mixed_exact_exp,diagnostic,0.0,2.0,-0.001,1.5,0.0,3.4985,0.0,-0.001,1.0,0.9990001,0.572,0.4282,0.0,0.3138439357280731
near_tie_max,mixed_rtl_exact,diagnostic,0.0,2.0,-0.001,1.5,0.0,3.4767456,0.0,-0.001,1.0,0.9844971,0.5751953,0.4248047,0.0,0.32226839661598206
near_tie_max,mixed_rtl_reciprocal,diagnostic,0.0,2.0,-0.001,1.5,0.0,3.4767456,0.0,-0.001,1.0,0.9844971,0.5751953,0.4248047,0.0,0.32226839661598206
delta_minus_8,fp32,primary,-8.0,2.0,0.0,1.25,0.0,1.2506709,-8.0,0.0,0.00033546262,1.0,0.0005364523,0.99946356,1.0477378964424133e-08,1.0941228866577148
delta_minus_8,fp16,primary,-8.0,2.0,0.0,1.25,0.0,1.251,-8.0,0.0,0.0003355,1.0,0.0005364,0.999,0.0004401206970214844,1.09375
