case_id,split,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,probability_stable_relative_error,output_stable_relative_error,case_worst_error,probability_sum_error
random_scores_L128_D64_scale0_R0,calibration,64,10,1024,128,64,1.0,0,685338081,0.04421449612524243,0.04535452683621381,0.04535452683621381,0.0008040661341510713
random_scores_L128_D64_scale0_R1,calibration,64,10,1024,128,64,1.0,1,663847107,0.04215257813059416,0.04899610446395977,0.04899610446395977,0.0001922609517350793
random_scores_L128_D64_scale1_R0,calibration,64,10,1024,128,64,2.0,0,3773109054,0.031267269863963255,0.0317153194042348,0.0317153194042348,0.0002071580311167054
random_scores_L128_D64_scale1_R1,calibration,64,10,1024,128,64,2.0,1,595832534,0.03326559848088323,0.03877517242199411,0.03877517242199411,0.00013235518781584688
random_scores_L128_D128_scale0_R0,calibration,64,10,1024,128,128,1.0,0,3390620030,0.03781003650633675,0.04480400824335228,0.04480400824335228,0.0003140134795103222
random_scores_L128_D128_scale0_R1,calibration,64,10,1024,128,128,1.0,1,4022284655,0.035046154857998196,0.035884690947356634,0.035884690947356634,0.0005024048732593656
random_scores_L128_D128_scale1_R0,calibration,64,10,1024,128,128,2.0,0,887663375,0.04671434584905558,0.04533526767980748,0.04671434584905558,0.0002768179001577664
random_scores_L128_D128_scale1_R1,calibration,64,10,1024,128,128,2.0,1,1888543280,0.03371421578990494,0.03016111200740763,0.03371421578990494,0.0003601132302719634
random_scores_L256_D64_scale0_R0,calibration,64,10,1024,256,64,1.0,0,2004917602,0.03298975626661492,0.04160699013158799,0.04160699013158799,0.00021623265638481826
random_scores_L256_D64_scale0_R1,calibration,64,10,1024,256,64,1.0,1,1803965758,0.037852258423030444,0.03957352368072313,0.03957352368072313,0.0004450852320587728
random_scores_L256_D64_scale1_R0,calibration,64,10,1024,256,64,2.0,0,2041129786,0.04162589040607746,0.027830535657647537,0.04162589040607746,0.0002082316677842755
random_scores_L256_D64_scale1_R1,calibration,64,10,1024,256,64,2.0,1,209589351,0.02548574174624886,0.012540703774624124,0.02548574174624886,8.735280061955564e-06
random_scores_L256_D128_scale0_R0,calibration,64,10,1024,256,128,1.0,0,3371775186,0.03365453561834212,0.03604310732935659,0.03604310732935659,0.00019988497660961002
random_scores_L256_D128_scale0_R1,calibration,64,10,1024,256,128,1.0,1,141512215,0.04087929277837238,0.03856731429838383,0.04087929277837238,0.00016592699103057384
random_scores_L256_D128_scale1_R0,calibration,64,10,1024,256,128,2.0,0,2879470677,0.02361052064399439,0.011334452384351032,0.02361052064399439,1.803421491786139e-05
random_scores_L256_D128_scale1_R1,calibration,64,10,1024,256,128,2.0,1,1485725105,0.02910808530470187,0.02198237684634778,0.02910808530470187,0.0004360240691312356
random_scores_L512_D64_scale0_R0,calibration,64,10,1024,512,64,1.0,0,393753057,0.0376901097125691,0.0404988813197511,0.0404988813197511,0.0005634930348605849
random_scores_L512_D64_scale0_R1,calibration,64,10,1024,512,64,1.0,1,2303777491,0.038040233705763364,0.045949632272664916,0.045949632272664916,0.00023518111265730113
random_scores_L512_D64_scale1_R0,calibration,64,10,1024,512,64,2.0,0,3353718886,0.03126005740909183,0.03821897105613466,0.03821897105613466,0.000335727460878843
random_scores_L512_D64_scale1_R1,calibration,64,10,1024,512,64,2.0,1,3069741948,0.047525809721640465,0.04387313852778506,0.047525809721640465,0.00012967326711077476
random_scores_L512_D128_scale0_R0,calibration,64,10,1024,512,128,1.0,0,2711588791,0.040203737892006,0.0425040908200392,0.0425040908200392,0.0001096626183425542
random_scores_L512_D128_scale0_R1,calibration,64,10,1024,512,128,1.0,1,4160562991,0.039229127321228296,0.04434667184992857,0.04434667184992857,0.0004290241813578177
random_scores_L512_D128_scale1_R0,calibration,64,10,1024,512,128,2.0,0,699071233,0.02359043962348291,0.008095455650402116,0.02359043962348291,0.00031817361968933255
random_scores_L512_D128_scale1_R1,calibration,64,10,1024,512,128,2.0,1,2945457681,0.024210670437820474,0.0067802666465928765,0.024210670437820474,0.0002700178351915383
random_scores_L1024_D64_scale0_R0,calibration,64,10,1024,1024,64,1.0,0,844679095,0.039108506629359524,0.04087766641385406,0.04087766641385406,0.0002944749703601701
random_scores_L1024_D64_scale0_R1,calibration,64,10,1024,1024,64,1.0,1,2426034371,0.043039400324127536,0.043127658767004806,0.043127658767004806,0.0005623249089694582
random_scores_L1024_D64_scale1_R0,calibration,64,10,1024,1024,64,2.0,0,974098872,0.03300822840114216,0.023633584954561585,0.03300822840114216,0.00024573850748765835
random_scores_L1024_D64_scale1_R1,calibration,64,10,1024,1024,64,2.0,1,3900981413,0.037866038378183135,0.02782733303703317,0.037866038378183135,0.00015854756611588527
