entries,q_bits,rom_bits,probe_mean,probe_max,probe_p99,probe_count,reciprocal_relative_error_mean,reciprocal_relative_error_max,reciprocal_relative_error_p99,reciprocal_probe_count,reachable_domain_count,reachable_domain_unsupported_count,reachable_domain_overflow_count,reachable_domain_mean,reachable_domain_max,reachable_domain_p99,full_fp32_mantissa_theoretical_max,full_fp32_mantissa_theoretical_max_method,calibration_cases,validation_cases,final_test_cases,calibration_worst_case_error,validation_worst_case_error,validation_ab_worst_case_error,validation_optimized_oracle_worst_case_error,final_test_worst_case_error,validation_pairwise_cosine_min,validation_ab_pairwise_cosine_min,validation_optimized_fp32_pairwise_cosine_min,validation_ab_attention_relative_max,validation_optimized_fp32_attention_relative_max,validation_optimized_oracle_pairwise_cosine_min,validation_optimized_probability_sum_error_max,validation_ab_probability_sum_error_max,final_test_pairwise_cosine_min,final_test_optimized_fp32_pairwise_cosine_min,validation_threshold,pairwise_cosine_threshold,passes_ab_validation_threshold,passes_optimized_oracle_validation_threshold,passes_validation_threshold,recommended,selected
64,10,704,0.0010911931849088377,0.002792809158563545,0.0025338050909339805,1285,0.0010911931849088377,0.002792809158563545,0.0025338050909339805,1285,31743,0,0,0.0006688950219001284,0.0024290084838867426,0.0019512176513672218,NA,NA,64,64,64,0.02702156775863988,0.020936004524984037,0.014207085156070826,0.020936004524984037,0.021071939581224948,0.9999678600005368,0.9999678600005368,0.9998154416070045,0.014207085156070826,0.020936058311065084,0.999815441249839,0.012653865085667348,0.012687973625361337,0.9999620669688026,0.9998279421008708,0.015,0.9999,True,False,True,False,False
64,12,832,0.00029902344926056965,0.0007021357305347022,0.0006560106412506822,1285,0.00029902344926056965,0.0007021357305347022,0.0006560106412506822,1285,31743,0,0,0.00019020522447823988,0.0006361007690430271,0.0005555152893066519,NA,NA,64,64,64,0.024443836517032087,0.015777577570094316,0.005054950657259387,0.015777577570094316,0.015890306149536158,0.9999967262635777,0.9999967262635777,0.9998617031773157,0.005054950657259387,0.015777607961506176,0.9998617028861502,0.0051395431692071725,0.004712571633717744,0.9999968401098056,0.9998719336604716,0.015,0.9999,True,False,True,False,False
64,14,960,8.11592097179416e-05,0.00016605673590669014,0.0001510442816652853,1285,8.11592097179416e-05,0.00016605673590669014,0.0001510442816652853,1285,31743,0,0,6.315034657770397e-05,0.00017321109771721837,0.00014245510101315606,NA,NA,64,64,64,0.023729014438378458,0.015525140418617215,0.002587062579911615,0.015525140418617215,0.015579383283880156,0.9999993449071758,0.9999993449071758,0.9998699847666734,0.002587062579911615,0.015525143852446213,0.9998699844793683,0.002086159449390834,0.0020779303813469596,0.9999991594912917,0.9998833592226608,0.015,0.9999,True,False,True,False,False
64,15,1024,4.5311028151501645e-05,9.250823495676043e-05,8.430254820263463e-05,1285,4.5311028151501645e-05,9.250823495676043e-05,8.430254820263463e-05,1285,31743,0,0,3.744021550516337e-05,8.836388587954739e-05,7.906556129462809e-05,NA,NA,64,64,64,0.023377590676203354,0.015383745724721959,0.0017220771113137128,0.015383745724721959,0.015532971884374167,0.999999693314993,0.999999693314993,0.9998730851714096,0.0017220771113137128,0.015383749136373161,0.9998730848920195,0.0017608241651032586,0.0013910033558204304,0.9999998233004697,0.9998827208971781,0.015,0.9999,True,False,True,False,False
64,16,1088,3.1058367192326566e-05,7.713024024268846e-05,7.431211633953659e-05,1285,3.1058367192326566e-05,7.713024024268846e-05,7.431211633953659e-05,1285,31743,0,0,2.9478842837409407e-05,7.355213165281599e-05,6.502866744995204e-05,NA,NA,64,64,64,0.023566525384019717,0.015368608802473127,0.0012755123571717541,0.015368608802473127,0.015520254765894113,0.9999997311877749,0.9999997311877749,0.9998734453031394,0.0012755123571717541,0.0153686122117501,0.9998734450240135,0.0017394996284565423,0.0010583292023511603,0.9999997949306232,0.9998832634376147,0.015,0.9999,True,False,True,False,False
64,18,1216,2.1892650300366893e-05,6.175224552861648e-05,5.8457299019176715e-05,1285,2.1892650300366893e-05,6.175224552861648e-05,5.8457299019176715e-05,1285,31743,0,0,2.2819869118627937e-05,6.198883056642013e-05,5.6676566600835556e-05,NA,NA,64,64,64,0.023641062308210496,0.015365751928104708,0.000982462282220749,0.015365751928104708,0.015533051760955464,0.999999824097967,0.999999824097967,0.9998735360710574,0.000982462282220749,0.01536575533693358,0.9998735357913738,0.0017199524118041154,0.0008517257101630094,0.9999997920215421,0.999882649376194,0.015,0.9999,True,False,True,False,False
64,20,1344,1.9792607916891773e-05,6.0791120858986984e-05,5.746637293665422e-05,1285,1.9792607916891773e-05,6.0791120858986984e-05,5.746637293665422e-05,1285,31743,0,0,2.0783906372712914e-05,6.006658077241378e-05,5.6235119700401574e-05,NA,NA,64,64,64,0.023643341791047916,0.015460291783084548,0.000982201532374722,0.015460291783084548,0.015536317334944065,0.9999998256248946,0.9999998256248946,0.9998721019090633,0.000982201532374722,0.01546029520674202,0.9998721016244907,0.0017191870974784251,0.0008513900847901823,0.9999998236932363,0.999882649376194,0.015,0.9999,True,False,True,False,False
64,23,1536,1.910083515269042e-05,6.007027735676486e-05,5.659931261444704e-05,1285,1.910083515269042e-05,6.007027735676486e-05,5.659931261444704e-05,1285,31743,0,0,2.0213082650565273e-05,6.006658077241378e-05,5.574012175199345e-05,NA,NA,64,64,64,0.02364119717899927,0.015460291783084548,0.000982201532374722,0.015460291783084548,0.015536317334944065,0.9999998256248946,0.9999998256248946,0.9998721019090633,0.000982201532374722,0.01546029520674202,0.9998721016244907,0.0017191870974784251,0.0008513900847901823,0.9999998236978734,0.999882649376194,0.015,0.9999,True,False,True,False,False
128,10,1408,0.0012838710226292466,0.002792809158563545,0.0025802059099078113,1285,0.0012838710226292466,0.002792809158563545,0.0025802059099078113,1285,31743,0,0,0.0006350385772067678,0.002302169799804592,0.0019245147705078134,NA,NA,64,64,64,0.026455819006053843,0.02058326783760057,0.014589830804089836,0.02058326783760057,0.019977509650319566,0.9999774285339903,0.9999774285339903,0.9998326620351373,0.014589830804089836,0.02058331307904576,0.9998326616873136,0.01244703596967156,0.012077215160388732,0.9999737340509931,0.9998349105004118,0.015,0.9999,True,False,True,False,False
128,12,1664,0.00033048436893620887,0.0007021357305347022,0.0006571356207131555,1285,0.00033048436893620887,0.0007021357305347022,0.0006571356207131555,1285,31743,0,0,0.00016413585820390403,0.0006077289581299692,0.0004997253417968759,NA,NA,64,64,64,0.0240824465515691,0.015539507397499163,0.0035478076570193296,0.015539507397499163,0.01588617178693748,0.9999983661626316,0.9999983661626316,0.9998667838342065,0.0035478076570193296,0.015539512548085378,0.9998667835446245,0.0038442172663053498,0.003417245730815921,0.9999975019549299,0.9998725996599733,0.015,0.9999,True,False,True,False,False
