vector,kind,weight_side,entries,q_bits,product_width,num_fixed,num_h,num_q32,interp_product,interp_step,valid,unsupported,overflow,den_h,den_fp32,index,frac,lo,hi,q,s,product,net_shift,shifted,w_q32,final_half,input_numerator_h,input_denominator_h
engine_mode3_1_0,engine,old,256,15,64,4294967296,15360,4294967296,1671168,51,True,False,False,15743,1068490752,95,24576,23899,23831,23848,0,102426380075008,15,3125805056,3125805056,14802,NA,NA
engine_mode3_1_0,engine,tile,256,15,64,1604845568,13818,1604321280,1671168,51,True,False,False,15743,1068490752,95,24576,23899,23831,23848,0,38259853885440,15,1167598080,1167598080,13402,NA,NA
equal_max_1_3,engine,old,256,15,64,4294967296,15360,4294967296,0,0,True,False,False,17408,1082130432,0,0,32768,32640,32768,-2,140737488355328,17,1073741824,1073741824,13312,NA,NA
equal_max_1_3,engine,tile,256,15,64,12884901888,16896,12884901888,0,0,True,False,False,17408,1082130432,0,0,32768,32640,32768,-2,422212465065984,17,3221225472,3221225472,14848,NA,NA
direct_0000_over_3c00,direct,direct,256,15,64,0,0,0,0,0,True,False,False,15360,1065353216,0,0,32768,32640,32768,0,0,15,0,0,0,0,15360
direct_0000_over_0000,direct,direct,256,15,64,0,0,0,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_0001_over_0001,direct,direct,256,15,64,256,1,256,0,0,True,False,False,1,864026624,0,0,32768,32640,32768,24,8388608,-9,4294967296,4294967296,15360,1,1
direct_0003_over_0003,direct,direct,256,15,64,768,3,768,0,0,True,False,False,3,876609536,128,0,21845,21789,21845,23,16776960,-8,4294901760,4294901760,15360,3,3
direct_0001_over_3c00,direct,direct,256,15,64,256,1,256,0,0,True,False,False,15360,1065353216,0,0,32768,32640,32768,0,8388608,15,256,256,1,1,15360
direct_0001_over_4000,direct,direct,256,15,64,256,1,256,0,0,True,False,False,16384,1073741824,0,0,32768,32640,32768,-1,8388608,16,128,128,0,1,16384
direct_3c04_over_3c04,direct,direct,256,15,64,4311744512,15364,4311744512,0,0,True,False,False,15364,1065385984,1,0,32640,32514,32640,0,140735340871680,15,4294901760,4294901760,15360,15364,15364
direct_7bff_over_7bff,direct,direct,256,15,64,281337537757184,31743,281337537757184,786432,24,True,False,False,31743,1199562752,255,24576,16416,16384,16392,-15,4611684918915760128,30,4294966272,4294966272,15360,31743,31743
