case,n,d,seed,stage,reference,target_mae,target_stable_relative_error,target_cosine_diagnostic,host_cosine_from_numerical_csv,integration_witness
N8_D32,8,32,1,Q,host_fp32,0.0015573889249935746,0.007769238203763962,1.0,,N/A
N8_D32,8,32,1,K,host_fp32,0.001852604909799993,0.009208009578287601,1.0,,N/A
N8_D32,8,32,1,V,host_fp32,0.0015736547065898776,0.008795632049441338,1.0,,N/A
N8_D32,8,32,1,score_vs_ref,host_fp32,0.0005866650026291609,0.010942957364022732,1.0,0.9999434867120907,N/A
N8_D32,8,32,1,probability_vs_ref,host_ref,0.0009134546853601933,0.007307637482881546,1.0,0.9999593889710845,N/A
N8_D32,8,32,1,probability_vs_host_mixed,host_mixed,0.0,0.0,1.0,0.9999593889710845,PASS
N8_D32,8,32,1,output_vs_ref,host_fp32,0.000885969668161124,0.015492841601371765,0.9999999403953552,0.9998803766256594,N/A
N8_D32,8,32,1,output_vs_host_mixed,host_mixed,6.016648512741085e-09,1.0486146351240677e-07,0.9999999403953552,0.9998803766256594,PASS
N16_D64,16,64,1,Q,host_fp32,0.0026951918844133615,0.00959530845284462,1.0,,N/A
N16_D64,16,64,1,K,host_fp32,0.002697347430512309,0.010084385052323341,0.9999998807907104,,N/A
N16_D64,16,64,1,V,host_fp32,0.003247156273573637,0.012073411606252193,0.9999998807907104,,N/A
N16_D64,16,64,1,score_vs_ref,host_fp32,0.0012382867280393839,0.013661646284162998,0.9999999403953552,0.999904442516295,N/A
N16_D64,16,64,1,probability_vs_ref,host_ref,0.00048724457155913115,0.007795913144946098,1.0000001192092896,0.9999546454868004,N/A
N16_D64,16,64,1,probability_vs_host_mixed,host_mixed,0.0,0.0,0.9999999403953552,0.9999546454868004,PASS
N16_D64,16,64,1,output_vs_ref,host_fp32,0.0010233474895358086,0.015469995327293873,1.0,0.9998616715394743,N/A
N16_D64,16,64,1,output_vs_host_mixed,host_mixed,6.659336193592935e-09,1.007175569611718e-07,0.9999999403953552,0.9998616715394743,PASS
