instruction_name,pattern,pattern_source_file,pattern_source_location,decoder_location,guard,generator_source_file,generator_source_location,generator_generation_input
ADD,0000000??????????000?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:298,hw/ip/snitch/src/snitch.sv:553,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:34,No
ADDI,?????????????????000?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:289,hw/ip/snitch/src/snitch.sv:557,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:24,No
SUB,0100000??????????000?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:299,hw/ip/snitch/src/snitch.sv:561,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:35,No
XOR,0000000??????????100?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:303,hw/ip/snitch/src/snitch.sv:566,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:39,No
XORI,?????????????????100?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:293,hw/ip/snitch/src/snitch.sv:571,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:28,No
OR,0000000??????????110?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:306,hw/ip/snitch/src/snitch.sv:576,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:42,No
ORI,?????????????????110?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:296,hw/ip/snitch/src/snitch.sv:581,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:31,No
AND,0000000??????????111?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:307,hw/ip/snitch/src/snitch.sv:586,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:43,No
ANDI,?????????????????111?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:297,hw/ip/snitch/src/snitch.sv:591,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:32,No
SLT,0000000??????????010?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:301,hw/ip/snitch/src/snitch.sv:596,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:37,No
SLTI,?????????????????010?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:291,hw/ip/snitch/src/snitch.sv:601,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:26,No
SLTU,0000000??????????011?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:302,hw/ip/snitch/src/snitch.sv:606,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:38,No
SLTIU,?????????????????011?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:292,hw/ip/snitch/src/snitch.sv:611,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:27,No
SLL,0000000??????????001?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:300,hw/ip/snitch/src/snitch.sv:616,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:36,No
SRL,0000000??????????101?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:304,hw/ip/snitch/src/snitch.sv:621,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:40,No
SRA,0100000??????????101?????0110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:305,hw/ip/snitch/src/snitch.sv:626,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:41,No
SLLI,000000???????????001?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:290,hw/ip/snitch/src/snitch.sv:631,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:25,No
SRLI,000000???????????101?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:294,hw/ip/snitch/src/snitch.sv:636,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:29,No
SRAI,010000???????????101?????0010011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:295,hw/ip/snitch/src/snitch.sv:641,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:30,No
LUI,?????????????????????????0110111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:287,hw/ip/snitch/src/snitch.sv:646,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:21,No
AUIPC,?????????????????????????0010111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:288,hw/ip/snitch/src/snitch.sv:652,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:22,No
JAL,?????????????????????????1101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:286,hw/ip/snitch/src/snitch.sv:656,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:19,No
JALR,?????????????????000?????1100111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:285,hw/ip/snitch/src/snitch.sv:662,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:17,No
BEQ,?????????????????000?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:279,hw/ip/snitch/src/snitch.sv:670,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:10,No
BNE,?????????????????001?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:280,hw/ip/snitch/src/snitch.sv:677,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:11,No
BLT,?????????????????100?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:281,hw/ip/snitch/src/snitch.sv:684,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:12,No
BLTU,?????????????????110?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:283,hw/ip/snitch/src/snitch.sv:691,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:14,No
BGE,?????????????????101?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:282,hw/ip/snitch/src/snitch.sv:698,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:13,No
BGEU,?????????????????111?????1100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:284,hw/ip/snitch/src/snitch.sv:705,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:15,No
SB,?????????????????000?????0100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:313,hw/ip/snitch/src/snitch.sv:713,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:51,No
SH,?????????????????001?????0100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:314,hw/ip/snitch/src/snitch.sv:719,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:52,No
SW,?????????????????010?????0100011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:315,hw/ip/snitch/src/snitch.sv:726,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:53,No
LB,?????????????????000?????0000011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:308,hw/ip/snitch/src/snitch.sv:733,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:45,No
LH,?????????????????001?????0000011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:309,hw/ip/snitch/src/snitch.sv:741,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:46,No
LW,?????????????????010?????0000011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:310,hw/ip/snitch/src/snitch.sv:750,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:47,No
LBU,?????????????????100?????0000011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:311,hw/ip/snitch/src/snitch.sv:759,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:48,No
LHU,?????????????????101?????0000011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:312,hw/ip/snitch/src/snitch.sv:766,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:49,No
CSRRW,?????????????????001?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1059,hw/ip/snitch/src/snitch.sv:775,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:10,No
CSRRWI,?????????????????101?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1062,hw/ip/snitch/src/snitch.sv:805,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:13,No
CSRRS,?????????????????010?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1060,hw/ip/snitch/src/snitch.sv:834,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:11,No
CSRRSI,?????????????????110?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1063,hw/ip/snitch/src/snitch.sv:865,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:14,No
CSRRC,?????????????????011?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1061,hw/ip/snitch/src/snitch.sv:900,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:12,No
CSRRCI,?????????????????111?????1110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1064,hw/ip/snitch/src/snitch.sv:931,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:15,No
ECALL,00000000000000000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1051,hw/ip/snitch/src/snitch.sv:965,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:2,No
EBREAK,00000000000100000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1052,hw/ip/snitch/src/snitch.sv:966,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:3,No
SRET,00010000001000000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1054,hw/ip/snitch/src/snitch.sv:968,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:5,No
MRET,00110000001000000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1055,hw/ip/snitch/src/snitch.sv:973,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:6,No
DRET,01111011001000000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1056,hw/ip/snitch/src/snitch.sv:978,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:7,No
FENCE,?????????????????000?????0001111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:316,hw/ip/snitch/src/snitch.sv:988,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:55,No
FENCE_I,?????????????????001?????0001111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:317,hw/ip/snitch/src/snitch.sv:991,always,sw/toolchain/riscv-opcodes/opcodes-rv32i,sw/toolchain/riscv-opcodes/opcodes-rv32i:56,No
SFENCE_VMA,0001001??????????000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1057,hw/ip/snitch/src/snitch.sv:994,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:8,No
WFI,00010000010100000000000001110011,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:1058,hw/ip/snitch/src/snitch.sv:998,always,sw/toolchain/riscv-opcodes/opcodes-system,sw/toolchain/riscv-opcodes/opcodes-system:9,No
AMOADD_W,00000????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:143,hw/ip/snitch/src/snitch.sv:1003,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:1,No
AMOXOR_W,00100????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:144,hw/ip/snitch/src/snitch.sv:1014,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:2,No
AMOOR_W,01000????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:145,hw/ip/snitch/src/snitch.sv:1025,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:3,No
AMOAND_W,01100????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:146,hw/ip/snitch/src/snitch.sv:1036,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:4,No
AMOMIN_W,10000????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:147,hw/ip/snitch/src/snitch.sv:1047,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:5,No
AMOMAX_W,10100????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:148,hw/ip/snitch/src/snitch.sv:1058,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:6,No
AMOMINU_W,11000????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:149,hw/ip/snitch/src/snitch.sv:1069,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:7,No
AMOMAXU_W,11100????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:150,hw/ip/snitch/src/snitch.sv:1080,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:8,No
AMOSWAP_W,00001????????????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:151,hw/ip/snitch/src/snitch.sv:1091,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:9,No
LR_W,00010??00000?????010?????0101111,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/riscv_instr.sv:152,hw/ip/snitch/src/snitch.sv:1102,always,sw/toolchain/riscv-opcodes/opcodes-rv32a,sw/toolchain/riscv-opcodes/opcodes-rv32a:10,No
