candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
A,0x5b,custom-2,0,3,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00000110000000000000?????1011011
B,0x5b,custom-2,0,4,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00001000000000000000?????1011011
C,0x5b,custom-2,0,6,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00001100000000000000?????1011011
,0x5b,custom-2,0,0,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000000000000000000?????1011011
,0x5b,custom-2,0,1,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000010000000000000?????1011011
,0x5b,custom-2,0,2,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000100000000000000?????1011011
,0x5b,custom-2,0,5,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00001010000000000000?????1011011
,0x5b,custom-2,0,7,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00001110000000000000?????1011011
,0x5b,custom-2,0,8,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010000000000000000?????1011011
,0x5b,custom-2,0,9,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00010010000000000000?????1011011
,0x5b,custom-2,0,10,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010100000000000000?????1011011
,0x5b,custom-2,0,11,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010110000000000000?????1011011
,0x5b,custom-2,0,12,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011000000000000000?????1011011
,0x5b,custom-2,0,13,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00011010000000000000?????1011011
,0x5b,custom-2,0,14,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011100000000000000?????1011011
,0x5b,custom-2,0,15,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011110000000000000?????1011011
,0x5b,custom-2,0,16,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00100000000000000000?????1011011
,0x5b,custom-2,0,17,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00100010000000000000?????1011011
,0x5b,custom-2,0,18,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00100100000000000000?????1011011
,0x5b,custom-2,0,19,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00100110000000000000?????1011011
,0x5b,custom-2,0,20,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00101000000000000000?????1011011
,0x5b,custom-2,0,21,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00101010000000000000?????1011011
,0x5b,custom-2,0,22,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00101100000000000000?????1011011
,0x5b,custom-2,0,23,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00101110000000000000?????1011011
,0x5b,custom-2,0,24,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110000000000000000?????1011011
,0x5b,custom-2,0,25,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00110010000000000000?????1011011
,0x5b,custom-2,0,26,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110100000000000000?????1011011
,0x5b,custom-2,0,27,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110110000000000000?????1011011
,0x5b,custom-2,0,28,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111000000000000000?????1011011
,0x5b,custom-2,0,29,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00111010000000000000?????1011011
,0x5b,custom-2,0,30,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111100000000000000?????1011011
,0x5b,custom-2,0,31,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111110000000000000?????1011011
,0x5b,custom-2,0,32,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01000000000000000000?????1011011
,0x5b,custom-2,0,33,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01000010000000000000?????1011011
,0x5b,custom-2,0,34,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01000100000000000000?????1011011
,0x5b,custom-2,0,35,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01000110000000000000?????1011011
,0x5b,custom-2,0,36,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01001000000000000000?????1011011
,0x5b,custom-2,0,37,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01001010000000000000?????1011011
,0x5b,custom-2,0,38,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01001100000000000000?????1011011
,0x5b,custom-2,0,39,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01001110000000000000?????1011011
,0x5b,custom-2,0,40,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010000000000000000?????1011011
,0x5b,custom-2,0,41,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01010010000000000000?????1011011
,0x5b,custom-2,0,42,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010100000000000000?????1011011
,0x5b,custom-2,0,43,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010110000000000000?????1011011
,0x5b,custom-2,0,44,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011000000000000000?????1011011
,0x5b,custom-2,0,45,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01011010000000000000?????1011011
,0x5b,custom-2,0,46,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011100000000000000?????1011011
,0x5b,custom-2,0,47,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011110000000000000?????1011011
,0x5b,custom-2,0,48,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01100000000000000000?????1011011
,0x5b,custom-2,0,49,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01100010000000000000?????1011011
,0x5b,custom-2,0,50,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01100100000000000000?????1011011
,0x5b,custom-2,0,51,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01100110000000000000?????1011011
,0x5b,custom-2,0,52,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01101000000000000000?????1011011
,0x5b,custom-2,0,53,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01101010000000000000?????1011011
,0x5b,custom-2,0,54,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01101100000000000000?????1011011
,0x5b,custom-2,0,55,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01101110000000000000?????1011011
,0x5b,custom-2,0,56,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110000000000000000?????1011011
,0x5b,custom-2,0,57,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01110010000000000000?????1011011
,0x5b,custom-2,0,58,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110100000000000000?????1011011
,0x5b,custom-2,0,59,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110110000000000000?????1011011
,0x5b,custom-2,0,60,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111000000000000000?????1011011
,0x5b,custom-2,0,61,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01111010000000000000?????1011011
,0x5b,custom-2,0,62,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111100000000000000?????1011011
,0x5b,custom-2,0,63,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111110000000000000?????1011011
,0x5b,custom-2,0,64,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000000000000000000?????1011011
,0x5b,custom-2,0,65,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10000010000000000000?????1011011
,0x5b,custom-2,0,66,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000100000000000000?????1011011
,0x5b,custom-2,0,67,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000110000000000000?????1011011
,0x5b,custom-2,0,68,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001000000000000000?????1011011
