candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
original_custom-0_omerge,00000000000000000000?????0001011,FREP_O,????????????????????????10001011,0x0000008b,decoder,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/snitch.sv:2066
original_custom-0_omerge,00000000000000000000?????0001011,FREP_I,????????????????????????00001011,0x0000000b,decoder,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/snitch.sv:2067
custom-1_reference,00000000000000000000?????0101011,DMSRC,0000000??????????000000000101011,0x0000002b,decoder,hw/ip/snitch/src/riscv_instr.sv,hw/ip/snitch/src/snitch.sv:2178
custom-2_f0_f7_0,00000000000000000000?????1011011,IADD,0000000??????????000?????1011011,0x0000005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:30
custom-2_f0_f7_1,00000010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x0200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_2,00000100000000000000?????1011011,IMUL,0000010??????????000?????1011011,0x0400005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:46
custom-2_f0_f7_5,00001010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x0a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_9,00010010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x1200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_13,00011010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x1a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_17,00100010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x2200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_21,00101010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x2a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_25,00110010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x3200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_29,00111010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x3a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_32,01000000000000000000?????1011011,ISUB,0100000??????????000?????1011011,0x4000005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:31
custom-2_f0_f7_33,01000010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x4200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_37,01001010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x4a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_41,01010010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x5200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_45,01011010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x5a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_49,01100010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x6200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_53,01101010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x6a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_57,01110010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x7200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_61,01111010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x7a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_65,10000010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x8200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_69,10001010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x8a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_73,10010010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x9200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_77,10011010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0x9a00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_81,10100010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xa200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_85,10101010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xaa00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_89,10110010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xb200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_93,10111010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xba00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_97,11000010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xc200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_101,11001010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xca00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_105,11010010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xd200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_109,11011010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xda00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_112,11100000000000000000?????1011011,IMV_X_W,111000000000?????000?????1011011,0xe000005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:17
custom-2_f0_f7_113,11100010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xe200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_117,11101010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xea00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f0_f7_120,11110000000000000000?????1011011,IMV_W_X,111100000000?????000?????1011011,0xf000005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:18
custom-2_f0_f7_121,11110010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xf200005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
