candidate,opcode,funct3,funct7,rd,machine_word,existing_matches_before,generator_matches,existing_match_count,generator_match_count,matches_after_adding_omerge,unique_omerge_after_add
custom-2_f0_f7_3,0x5b,0,3,0,0x0600005b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,1,0x060000db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,2,0x0600015b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,3,0x060001db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,4,0x0600025b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,5,0x060002db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,6,0x0600035b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,7,0x060003db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,8,0x0600045b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,9,0x060004db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,10,0x0600055b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,11,0x060005db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,12,0x0600065b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,13,0x060006db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,14,0x0600075b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,15,0x060007db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,16,0x0600085b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,17,0x060008db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,18,0x0600095b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,19,0x060009db,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,20,0x06000a5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,21,0x06000adb,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,22,0x06000b5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,23,0x06000bdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,24,0x06000c5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,25,0x06000cdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,26,0x06000d5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,27,0x06000ddb,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,28,0x06000e5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,29,0x06000edb,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,30,0x06000f5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_3,0x5b,0,3,31,0x06000fdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,0,0x0800005b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,1,0x080000db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,2,0x0800015b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,3,0x080001db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,4,0x0800025b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,5,0x080002db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,6,0x0800035b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,7,0x080003db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,8,0x0800045b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,9,0x080004db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,10,0x0800055b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,11,0x080005db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,12,0x0800065b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,13,0x080006db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,14,0x0800075b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,15,0x080007db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,16,0x0800085b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,17,0x080008db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,18,0x0800095b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,19,0x080009db,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,20,0x08000a5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,21,0x08000adb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,22,0x08000b5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,23,0x08000bdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,24,0x08000c5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,25,0x08000cdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,26,0x08000d5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,27,0x08000ddb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,28,0x08000e5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,29,0x08000edb,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,30,0x08000f5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_4,0x5b,0,4,31,0x08000fdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,0,0x0c00005b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,1,0x0c0000db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,2,0x0c00015b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,3,0x0c0001db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,4,0x0c00025b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,5,0x0c0002db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,6,0x0c00035b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,7,0x0c0003db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,8,0x0c00045b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,9,0x0c0004db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,10,0x0c00055b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,11,0x0c0005db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,12,0x0c00065b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,13,0x0c0006db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,14,0x0c00075b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,15,0x0c0007db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,16,0x0c00085b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,17,0x0c0008db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,18,0x0c00095b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,19,0x0c0009db,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,20,0x0c000a5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,21,0x0c000adb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,22,0x0c000b5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,23,0x0c000bdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,24,0x0c000c5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,25,0x0c000cdb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,26,0x0c000d5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,27,0x0c000ddb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,28,0x0c000e5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,29,0x0c000edb,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,30,0x0c000f5b,NONE,NONE,0,0,1,1
custom-2_f0_f7_6,0x5b,0,6,31,0x0c000fdb,NONE,NONE,0,0,1,1
