instruction_name,source_name,pattern,source_file,source_location,generation_input
DMSRC,dmsrc,0000000??????????000000000101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:18,Yes
DMDST,dmdst,0000001??????????000000000101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:19,Yes
DMCPYI,dmcpyi,0000010??????????000?????0101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:20,Yes
DMCPY,dmcpy,0000011??????????000?????0101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:21,Yes
DMSTATI,dmstati,0000100?????00000000?????0101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:22,Yes
DMSTAT,dmstat,0000101?????00000000?????0101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:23,Yes
DMSTR,dmstr,0000110??????????000000000101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:24,Yes
DMREP,dmrep,000011100000?????000000000101011,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-dma_CUSTOM:25,Yes
FLH,flh,?????????????????001?????0000111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:36,No
FSH,fsh,?????????????????001?????0100111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:37,No
FMADD_H,fmadd.h,?????10??????????????????1000011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:38,No
FMSUB_H,fmsub.h,?????10??????????????????1000111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:39,No
FNMSUB_H,fnmsub.h,?????10??????????????????1001011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:40,No
FNMADD_H,fnmadd.h,?????10??????????????????1001111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:41,No
FADD_H,fadd.h,0000010??????????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:42,No
FSUB_H,fsub.h,0000110??????????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:43,No
FMUL_H,fmul.h,0001010??????????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:44,No
FDIV_H,fdiv.h,0001110??????????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:45,No
FSQRT_H,fsqrt.h,010111000000?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:46,No
