opcode,opcode_name,format,funct3,funct7_or_imm_rule,rd_rule,rs1_rule,rs2_rule,cfg_id_range_tested,concrete_words_tested,existing_collision_count,colliding_instructions,status,notes,required_words_tested,required_collision_count,required_safe,reserved_words_tested,reserved_collision_count,reserved_safe,full_words_tested,full_collision_count,full_safe,candidate_mask,candidate_match,current_match_count_min,current_match_count_max,hypothetical_match_count_min,hypothetical_match_count_max,omerge_cross_collision_count,omerge_words_matching_candidate,rd_nonzero_words_tested,rd_nonzero_collision_count,rd_nonzero_colliding_instructions
0x0B,custom-0,I-type-like,000,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000000B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,001,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000100B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,010,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000200B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,011,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000300B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,100,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000400B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,101,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000500B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,110,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000600B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x0B,custom-0,I-type-like,111,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,131072,FREP_I,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,8192,no,131072,131072,no,0x00007FFF,0x0000700B,1,1,2,2,0,0,4063232,4063232,FREP_I;FREP_O
0x2B,custom-1,I-type-like,000,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,5216,DMCPY;DMCPYI;DMDST;DMREP;DMSRC;DMSTAT;DMSTATI;DMSTR,BLOCKED,current active Snitch/TARGET_SPATZ decoder,320,320,no,8192,5216,no,131072,5216,no,0x00007FFF,0x0000002B,0,1,1,2,0,0,4063232,65472,DMCPY;DMCPYI;DMSTAT;DMSTATI
0x2B,custom-1,I-type-like,001,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000102B,0,0,1,1,0,0,4063232,0,
