opcode,opcode_name,funct3,colliding_instruction,cfg_id,rs1,rd,word
0x0B,custom-0,000,FREP_I,0x000,x0,x0,0x0000000B
0x0B,custom-0,001,FREP_I,0x000,x0,x0,0x0000100B
0x0B,custom-0,010,FREP_I,0x000,x0,x0,0x0000200B
0x0B,custom-0,011,FREP_I,0x000,x0,x0,0x0000300B
0x0B,custom-0,100,FREP_I,0x000,x0,x0,0x0000400B
0x0B,custom-0,101,FREP_I,0x000,x0,x0,0x0000500B
0x0B,custom-0,110,FREP_I,0x000,x0,x0,0x0000600B
0x0B,custom-0,111,FREP_I,0x000,x0,x0,0x0000700B
0x2B,custom-1,000,DMCPY,0x060,x0,x0,0x0600002B
0x2B,custom-1,000,DMCPYI,0x040,x0,x0,0x0400002B
0x2B,custom-1,000,DMDST,0x020,x0,x0,0x0200002B
0x2B,custom-1,000,DMREP,0x0E0,x0,x0,0x0E00002B
0x2B,custom-1,000,DMSRC,0x000,x0,x0,0x0000002B
0x2B,custom-1,000,DMSTAT,0x0A0,x0,x0,0x0A00002B
0x2B,custom-1,000,DMSTATI,0x080,x0,x0,0x0800002B
0x2B,custom-1,000,DMSTR,0x0C0,x0,x0,0x0C00002B
0x5B,custom-2,000,OMERGE,0x060,x0,x0,0x0600005B
