rd,word,current_match_count,matching_active_instructions
x0,0x0600005B,1,OMERGE
x1,0x060000DB,1,OMERGE
x2,0x0600015B,1,OMERGE
x3,0x060001DB,1,OMERGE
x4,0x0600025B,1,OMERGE
x5,0x060002DB,1,OMERGE
x6,0x0600035B,1,OMERGE
x7,0x060003DB,1,OMERGE
x8,0x0600045B,1,OMERGE
x9,0x060004DB,1,OMERGE
x10,0x0600055B,1,OMERGE
x11,0x060005DB,1,OMERGE
x12,0x0600065B,1,OMERGE
x13,0x060006DB,1,OMERGE
x14,0x0600075B,1,OMERGE
x15,0x060007DB,1,OMERGE
x16,0x0600085B,1,OMERGE
x17,0x060008DB,1,OMERGE
x18,0x0600095B,1,OMERGE
x19,0x060009DB,1,OMERGE
x20,0x06000A5B,1,OMERGE
x21,0x06000ADB,1,OMERGE
x22,0x06000B5B,1,OMERGE
x23,0x06000BDB,1,OMERGE
x24,0x06000C5B,1,OMERGE
x25,0x06000CDB,1,OMERGE
x26,0x06000D5B,1,OMERGE
x27,0x06000DDB,1,OMERGE
x28,0x06000E5B,1,OMERGE
x29,0x06000EDB,1,OMERGE
x30,0x06000F5B,1,OMERGE
x31,0x06000FDB,1,OMERGE
