opcode,opcode_name,funct3,rs1,required_words_tested,required_collision_count,reserved_words_tested,reserved_collision_count,full_words_tested,full_collision_count
0x0B,custom-0,000,x0,10,10,256,256,4096,4096
0x0B,custom-0,000,x1,10,10,256,256,4096,4096
0x0B,custom-0,000,x2,10,10,256,256,4096,4096
0x0B,custom-0,000,x3,10,10,256,256,4096,4096
0x0B,custom-0,000,x4,10,10,256,256,4096,4096
0x0B,custom-0,000,x5,10,10,256,256,4096,4096
0x0B,custom-0,000,x6,10,10,256,256,4096,4096
0x0B,custom-0,000,x7,10,10,256,256,4096,4096
0x0B,custom-0,000,x8,10,10,256,256,4096,4096
0x0B,custom-0,000,x9,10,10,256,256,4096,4096
0x0B,custom-0,000,x10,10,10,256,256,4096,4096
0x0B,custom-0,000,x11,10,10,256,256,4096,4096
0x0B,custom-0,000,x12,10,10,256,256,4096,4096
0x0B,custom-0,000,x13,10,10,256,256,4096,4096
0x0B,custom-0,000,x14,10,10,256,256,4096,4096
0x0B,custom-0,000,x15,10,10,256,256,4096,4096
0x0B,custom-0,000,x16,10,10,256,256,4096,4096
0x0B,custom-0,000,x17,10,10,256,256,4096,4096
0x0B,custom-0,000,x18,10,10,256,256,4096,4096
0x0B,custom-0,000,x19,10,10,256,256,4096,4096
0x0B,custom-0,000,x20,10,10,256,256,4096,4096
0x0B,custom-0,000,x21,10,10,256,256,4096,4096
0x0B,custom-0,000,x22,10,10,256,256,4096,4096
0x0B,custom-0,000,x23,10,10,256,256,4096,4096
0x0B,custom-0,000,x24,10,10,256,256,4096,4096
0x0B,custom-0,000,x25,10,10,256,256,4096,4096
0x0B,custom-0,000,x26,10,10,256,256,4096,4096
0x0B,custom-0,000,x27,10,10,256,256,4096,4096
0x0B,custom-0,000,x28,10,10,256,256,4096,4096
0x0B,custom-0,000,x29,10,10,256,256,4096,4096
0x0B,custom-0,000,x30,10,10,256,256,4096,4096
0x0B,custom-0,000,x31,10,10,256,256,4096,4096
0x0B,custom-0,001,x0,10,10,256,256,4096,4096
0x0B,custom-0,001,x1,10,10,256,256,4096,4096
0x0B,custom-0,001,x2,10,10,256,256,4096,4096
0x0B,custom-0,001,x3,10,10,256,256,4096,4096
0x0B,custom-0,001,x4,10,10,256,256,4096,4096
0x0B,custom-0,001,x5,10,10,256,256,4096,4096
0x0B,custom-0,001,x6,10,10,256,256,4096,4096
0x0B,custom-0,001,x7,10,10,256,256,4096,4096
0x0B,custom-0,001,x8,10,10,256,256,4096,4096
0x0B,custom-0,001,x9,10,10,256,256,4096,4096
0x0B,custom-0,001,x10,10,10,256,256,4096,4096
0x0B,custom-0,001,x11,10,10,256,256,4096,4096
0x0B,custom-0,001,x12,10,10,256,256,4096,4096
0x0B,custom-0,001,x13,10,10,256,256,4096,4096
0x0B,custom-0,001,x14,10,10,256,256,4096,4096
0x0B,custom-0,001,x15,10,10,256,256,4096,4096
0x0B,custom-0,001,x16,10,10,256,256,4096,4096
0x0B,custom-0,001,x17,10,10,256,256,4096,4096
0x0B,custom-0,001,x18,10,10,256,256,4096,4096
0x0B,custom-0,001,x19,10,10,256,256,4096,4096
0x0B,custom-0,001,x20,10,10,256,256,4096,4096
0x0B,custom-0,001,x21,10,10,256,256,4096,4096
0x0B,custom-0,001,x22,10,10,256,256,4096,4096
0x0B,custom-0,001,x23,10,10,256,256,4096,4096
0x0B,custom-0,001,x24,10,10,256,256,4096,4096
0x0B,custom-0,001,x25,10,10,256,256,4096,4096
0x0B,custom-0,001,x26,10,10,256,256,4096,4096
0x0B,custom-0,001,x27,10,10,256,256,4096,4096
0x0B,custom-0,001,x28,10,10,256,256,4096,4096
0x0B,custom-0,001,x29,10,10,256,256,4096,4096
0x0B,custom-0,001,x30,10,10,256,256,4096,4096
0x0B,custom-0,001,x31,10,10,256,256,4096,4096
0x0B,custom-0,010,x0,10,10,256,256,4096,4096
0x0B,custom-0,010,x1,10,10,256,256,4096,4096
0x0B,custom-0,010,x2,10,10,256,256,4096,4096
0x0B,custom-0,010,x3,10,10,256,256,4096,4096
0x0B,custom-0,010,x4,10,10,256,256,4096,4096
0x0B,custom-0,010,x5,10,10,256,256,4096,4096
0x0B,custom-0,010,x6,10,10,256,256,4096,4096
0x0B,custom-0,010,x7,10,10,256,256,4096,4096
0x0B,custom-0,010,x8,10,10,256,256,4096,4096
0x0B,custom-0,010,x9,10,10,256,256,4096,4096
0x0B,custom-0,010,x10,10,10,256,256,4096,4096
0x0B,custom-0,010,x11,10,10,256,256,4096,4096
0x0B,custom-0,010,x12,10,10,256,256,4096,4096
0x0B,custom-0,010,x13,10,10,256,256,4096,4096
0x0B,custom-0,010,x14,10,10,256,256,4096,4096
0x0B,custom-0,010,x15,10,10,256,256,4096,4096
0x0B,custom-0,010,x16,10,10,256,256,4096,4096
0x0B,custom-0,010,x17,10,10,256,256,4096,4096
0x0B,custom-0,010,x18,10,10,256,256,4096,4096
0x0B,custom-0,010,x19,10,10,256,256,4096,4096
0x0B,custom-0,010,x20,10,10,256,256,4096,4096
0x0B,custom-0,010,x21,10,10,256,256,4096,4096
0x0B,custom-0,010,x22,10,10,256,256,4096,4096
0x0B,custom-0,010,x23,10,10,256,256,4096,4096
0x0B,custom-0,010,x24,10,10,256,256,4096,4096
0x0B,custom-0,010,x25,10,10,256,256,4096,4096
0x0B,custom-0,010,x26,10,10,256,256,4096,4096
0x0B,custom-0,010,x27,10,10,256,256,4096,4096
0x0B,custom-0,010,x28,10,10,256,256,4096,4096
0x0B,custom-0,010,x29,10,10,256,256,4096,4096
0x0B,custom-0,010,x30,10,10,256,256,4096,4096
0x0B,custom-0,010,x31,10,10,256,256,4096,4096
0x0B,custom-0,011,x0,10,10,256,256,4096,4096
0x0B,custom-0,011,x1,10,10,256,256,4096,4096
0x0B,custom-0,011,x2,10,10,256,256,4096,4096
0x0B,custom-0,011,x3,10,10,256,256,4096,4096
0x0B,custom-0,011,x4,10,10,256,256,4096,4096
0x0B,custom-0,011,x5,10,10,256,256,4096,4096
0x0B,custom-0,011,x6,10,10,256,256,4096,4096
0x0B,custom-0,011,x7,10,10,256,256,4096,4096
0x0B,custom-0,011,x8,10,10,256,256,4096,4096
0x0B,custom-0,011,x9,10,10,256,256,4096,4096
0x0B,custom-0,011,x10,10,10,256,256,4096,4096
0x0B,custom-0,011,x11,10,10,256,256,4096,4096
0x0B,custom-0,011,x12,10,10,256,256,4096,4096
0x0B,custom-0,011,x13,10,10,256,256,4096,4096
0x0B,custom-0,011,x14,10,10,256,256,4096,4096
