ordinal,instruction_name,pattern,match,mask,pattern_source_location,decoder_location,guard,opcode,funct3_rule,funct7_rule,rd_rule,rs1_rule,rs2_rule
1,ADD,0000000??????????000?????0110011,0x00000033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:300,hw/ip/snitch/src/snitch.sv:553,always,0x33,000,0000000,*,*,*
2,ADDI,?????????????????000?????0010011,0x00000013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:291,hw/ip/snitch/src/snitch.sv:557,always,0x13,000,*,*,*,*
3,SUB,0100000??????????000?????0110011,0x40000033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:301,hw/ip/snitch/src/snitch.sv:561,always,0x33,000,0100000,*,*,*
4,XOR,0000000??????????100?????0110011,0x00004033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:305,hw/ip/snitch/src/snitch.sv:566,always,0x33,100,0000000,*,*,*
5,XORI,?????????????????100?????0010011,0x00004013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:295,hw/ip/snitch/src/snitch.sv:571,always,0x13,100,*,*,*,*
6,OR,0000000??????????110?????0110011,0x00006033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:308,hw/ip/snitch/src/snitch.sv:576,always,0x33,110,0000000,*,*,*
7,ORI,?????????????????110?????0010011,0x00006013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:298,hw/ip/snitch/src/snitch.sv:581,always,0x13,110,*,*,*,*
8,AND,0000000??????????111?????0110011,0x00007033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:309,hw/ip/snitch/src/snitch.sv:586,always,0x33,111,0000000,*,*,*
9,ANDI,?????????????????111?????0010011,0x00007013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:299,hw/ip/snitch/src/snitch.sv:591,always,0x13,111,*,*,*,*
10,SLT,0000000??????????010?????0110011,0x00002033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:303,hw/ip/snitch/src/snitch.sv:596,always,0x33,010,0000000,*,*,*
11,SLTI,?????????????????010?????0010011,0x00002013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:293,hw/ip/snitch/src/snitch.sv:601,always,0x13,010,*,*,*,*
12,SLTU,0000000??????????011?????0110011,0x00003033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:304,hw/ip/snitch/src/snitch.sv:606,always,0x33,011,0000000,*,*,*
13,SLTIU,?????????????????011?????0010011,0x00003013,0x0000707F,hw/ip/snitch/src/riscv_instr.sv:294,hw/ip/snitch/src/snitch.sv:611,always,0x13,011,*,*,*,*
14,SLL,0000000??????????001?????0110011,0x00001033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:302,hw/ip/snitch/src/snitch.sv:616,always,0x33,001,0000000,*,*,*
15,SRL,0000000??????????101?????0110011,0x00005033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:306,hw/ip/snitch/src/snitch.sv:621,always,0x33,101,0000000,*,*,*
16,SRA,0100000??????????101?????0110011,0x40005033,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:307,hw/ip/snitch/src/snitch.sv:626,always,0x33,101,0100000,*,*,*
17,SLLI,000000???????????001?????0010011,0x00001013,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:292,hw/ip/snitch/src/snitch.sv:631,always,0x13,001,000000?,*,*,*
18,SRLI,000000???????????101?????0010011,0x00005013,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:296,hw/ip/snitch/src/snitch.sv:636,always,0x13,101,000000?,*,*,*
19,SRAI,010000???????????101?????0010011,0x40005013,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:297,hw/ip/snitch/src/snitch.sv:641,always,0x13,101,010000?,*,*,*
20,LUI,?????????????????????????0110111,0x00000037,0x0000007F,hw/ip/snitch/src/riscv_instr.sv:289,hw/ip/snitch/src/snitch.sv:646,always,0x37,*,*,*,*,*
