ordinal,instruction_name,pattern,match,mask,pattern_source_location,decoder_location,guard,opcode,funct3_rule,funct7_rule,rd_rule,rs1_rule,rs2_rule
1,VLE8_V,???000?00000?????000?????0000111,0x00000007,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:448,hw/ip/spatz/src/spatz_decoder.sv:57,always,0x07,000,???000?,*,*,00000
2,VLE16_V,???000?00000?????101?????0000111,0x00005007,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:449,hw/ip/spatz/src/spatz_decoder.sv:58,always,0x07,101,???000?,*,*,00000
3,VLE32_V,???000?00000?????110?????0000111,0x00006007,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:450,hw/ip/spatz/src/spatz_decoder.sv:59,always,0x07,110,???000?,*,*,00000
4,VLE64_V,???000?00000?????111?????0000111,0x00007007,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:451,hw/ip/spatz/src/spatz_decoder.sv:60,always,0x07,111,???000?,*,*,00000
5,VLSE8_V,???010???????????000?????0000111,0x08000007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:480,hw/ip/spatz/src/spatz_decoder.sv:61,always,0x07,000,???010?,*,*,*
6,VLSE16_V,???010???????????101?????0000111,0x08005007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:481,hw/ip/spatz/src/spatz_decoder.sv:62,always,0x07,101,???010?,*,*,*
7,VLSE32_V,???010???????????110?????0000111,0x08006007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:482,hw/ip/spatz/src/spatz_decoder.sv:63,always,0x07,110,???010?,*,*,*
8,VLSE64_V,???010???????????111?????0000111,0x08007007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:483,hw/ip/spatz/src/spatz_decoder.sv:64,always,0x07,111,???010?,*,*,*
9,VLUXEI8_V,???001???????????000?????0000111,0x04000007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:464,hw/ip/spatz/src/spatz_decoder.sv:65,always,0x07,000,???001?,*,*,*
10,VLUXEI16_V,???001???????????101?????0000111,0x04005007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:465,hw/ip/spatz/src/spatz_decoder.sv:66,always,0x07,101,???001?,*,*,*
11,VLUXEI32_V,???001???????????110?????0000111,0x04006007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:466,hw/ip/spatz/src/spatz_decoder.sv:67,always,0x07,110,???001?,*,*,*
12,VLUXEI64_V,???001???????????111?????0000111,0x04007007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:467,hw/ip/spatz/src/spatz_decoder.sv:68,always,0x07,111,???001?,*,*,*
13,VLOXEI8_V,???011???????????000?????0000111,0x0C000007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:496,hw/ip/spatz/src/spatz_decoder.sv:69,always,0x07,000,???011?,*,*,*
14,VLOXEI16_V,???011???????????101?????0000111,0x0C005007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:497,hw/ip/spatz/src/spatz_decoder.sv:70,always,0x07,101,???011?,*,*,*
15,VLOXEI32_V,???011???????????110?????0000111,0x0C006007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:498,hw/ip/spatz/src/spatz_decoder.sv:71,always,0x07,110,???011?,*,*,*
16,VLOXEI64_V,???011???????????111?????0000111,0x0C007007,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:499,hw/ip/spatz/src/spatz_decoder.sv:72,always,0x07,111,???011?,*,*,*
17,VSE8_V,???000?00000?????000?????0100111,0x00000027,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:456,hw/ip/spatz/src/spatz_decoder.sv:73,always,0x27,000,???000?,*,*,00000
18,VSE16_V,???000?00000?????101?????0100111,0x00005027,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:457,hw/ip/spatz/src/spatz_decoder.sv:74,always,0x27,101,???000?,*,*,00000
19,VSE32_V,???000?00000?????110?????0100111,0x00006027,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:458,hw/ip/spatz/src/spatz_decoder.sv:75,always,0x27,110,???000?,*,*,00000
20,VSE64_V,???000?00000?????111?????0100111,0x00007027,0x1DF0707F,hw/ip/snitch/src/riscv_instr.sv:459,hw/ip/spatz/src/spatz_decoder.sv:76,always,0x27,111,???000?,*,*,00000
21,VSSE8_V,???010???????????000?????0100111,0x08000027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:488,hw/ip/spatz/src/spatz_decoder.sv:77,always,0x27,000,???010?,*,*,*
22,VSSE16_V,???010???????????101?????0100111,0x08005027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:489,hw/ip/spatz/src/spatz_decoder.sv:78,always,0x27,101,???010?,*,*,*
23,VSSE32_V,???010???????????110?????0100111,0x08006027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:490,hw/ip/spatz/src/spatz_decoder.sv:79,always,0x27,110,???010?,*,*,*
24,VSSE64_V,???010???????????111?????0100111,0x08007027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:491,hw/ip/spatz/src/spatz_decoder.sv:80,always,0x27,111,???010?,*,*,*
25,VSUXEI8_V,???001???????????000?????0100111,0x04000027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:472,hw/ip/spatz/src/spatz_decoder.sv:81,always,0x27,000,???001?,*,*,*
26,VSUXEI16_V,???001???????????101?????0100111,0x04005027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:473,hw/ip/spatz/src/spatz_decoder.sv:82,always,0x27,101,???001?,*,*,*
27,VSUXEI32_V,???001???????????110?????0100111,0x04006027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:474,hw/ip/spatz/src/spatz_decoder.sv:83,always,0x27,110,???001?,*,*,*
28,VSUXEI64_V,???001???????????111?????0100111,0x04007027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:475,hw/ip/spatz/src/spatz_decoder.sv:84,always,0x27,111,???001?,*,*,*
29,VSOXEI8_V,???011???????????000?????0100111,0x0C000027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:504,hw/ip/spatz/src/spatz_decoder.sv:85,always,0x27,000,???011?,*,*,*
30,VSOXEI16_V,???011???????????101?????0100111,0x0C005027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:505,hw/ip/spatz/src/spatz_decoder.sv:86,always,0x27,101,???011?,*,*,*
31,VSOXEI32_V,???011???????????110?????0100111,0x0C006027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:506,hw/ip/spatz/src/spatz_decoder.sv:87,always,0x27,110,???011?,*,*,*
32,VSOXEI64_V,???011???????????111?????0100111,0x0C007027,0x1C00707F,hw/ip/snitch/src/riscv_instr.sv:507,hw/ip/spatz/src/spatz_decoder.sv:88,always,0x27,111,???011?,*,*,*
33,VADD_VV,000000???????????000?????1010111,0x00000057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:686,hw/ip/spatz/src/spatz_decoder.sv:213,always,0x57,000,000000?,*,*,*
34,VADD_VX,000000???????????100?????1010111,0x00004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:643,hw/ip/spatz/src/spatz_decoder.sv:214,always,0x57,100,000000?,*,*,*
35,VADD_VI,000000???????????011?????1010111,0x00003057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:727,hw/ip/spatz/src/spatz_decoder.sv:215,always,0x57,011,000000?,*,*,*
36,VSUB_VV,000010???????????000?????1010111,0x08000057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:687,hw/ip/spatz/src/spatz_decoder.sv:216,always,0x57,000,000010?,*,*,*
37,VSUB_VX,000010???????????100?????1010111,0x08004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:644,hw/ip/spatz/src/spatz_decoder.sv:217,always,0x57,100,000010?,*,*,*
38,VRSUB_VX,000011???????????100?????1010111,0x0C004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:645,hw/ip/spatz/src/spatz_decoder.sv:218,always,0x57,100,000011?,*,*,*
39,VRSUB_VI,000011???????????011?????1010111,0x0C003057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:728,hw/ip/spatz/src/spatz_decoder.sv:219,always,0x57,011,000011?,*,*,*
40,VWADD_VV,110001???????????010?????1010111,0xC4002057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:809,hw/ip/spatz/src/spatz_decoder.sv:220,always,0x57,010,110001?,*,*,*
41,VWADD_VX,110001???????????110?????1010111,0xC4006057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:842,hw/ip/spatz/src/spatz_decoder.sv:221,always,0x57,110,110001?,*,*,*
42,VWADDU_VV,110000???????????010?????1010111,0xC0002057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:808,hw/ip/spatz/src/spatz_decoder.sv:222,always,0x57,010,110000?,*,*,*
43,VWADDU_VX,110000???????????110?????1010111,0xC0006057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:841,hw/ip/spatz/src/spatz_decoder.sv:223,always,0x57,110,110000?,*,*,*
44,VWSUB_VV,110011???????????010?????1010111,0xCC002057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:811,hw/ip/spatz/src/spatz_decoder.sv:224,always,0x57,010,110011?,*,*,*
45,VWSUB_VX,110011???????????110?????1010111,0xCC006057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:844,hw/ip/spatz/src/spatz_decoder.sv:225,always,0x57,110,110011?,*,*,*
46,VWSUBU_VV,110010???????????010?????1010111,0xC8002057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:810,hw/ip/spatz/src/spatz_decoder.sv:226,always,0x57,010,110010?,*,*,*
47,VWSUBU_VX,110010???????????110?????1010111,0xC8006057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:843,hw/ip/spatz/src/spatz_decoder.sv:227,always,0x57,110,110010?,*,*,*
48,VAND_VV,001001???????????000?????1010111,0x24000057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:692,hw/ip/spatz/src/spatz_decoder.sv:228,always,0x57,000,001001?,*,*,*
49,VAND_VX,001001???????????100?????1010111,0x24004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:650,hw/ip/spatz/src/spatz_decoder.sv:229,always,0x57,100,001001?,*,*,*
50,VAND_VI,001001???????????011?????1010111,0x24003057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:729,hw/ip/spatz/src/spatz_decoder.sv:230,always,0x57,011,001001?,*,*,*
51,VOR_VV,001010???????????000?????1010111,0x28000057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:693,hw/ip/spatz/src/spatz_decoder.sv:231,always,0x57,000,001010?,*,*,*
52,VOR_VX,001010???????????100?????1010111,0x28004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:651,hw/ip/spatz/src/spatz_decoder.sv:232,always,0x57,100,001010?,*,*,*
53,VOR_VI,001010???????????011?????1010111,0x28003057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:730,hw/ip/spatz/src/spatz_decoder.sv:233,always,0x57,011,001010?,*,*,*
54,VXOR_VV,001011???????????000?????1010111,0x2C000057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:694,hw/ip/spatz/src/spatz_decoder.sv:234,always,0x57,000,001011?,*,*,*
55,VXOR_VX,001011???????????100?????1010111,0x2C004057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:652,hw/ip/spatz/src/spatz_decoder.sv:235,always,0x57,100,001011?,*,*,*
56,VXOR_VI,001011???????????011?????1010111,0x2C003057,0xFC00707F,hw/ip/snitch/src/riscv_instr.sv:731,hw/ip/spatz/src/spatz_decoder.sv:236,always,0x57,011,001011?,*,*,*
57,VADC_VVM,0100000??????????000?????1010111,0x40000057,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:697,hw/ip/spatz/src/spatz_decoder.sv:237,always,0x57,000,0100000,*,*,*
58,VADC_VXM,0100000??????????100?????1010111,0x40004057,0xFE00707F,hw/ip/snitch/src/riscv_instr.sv:656,hw/ip/spatz/src/spatz_decoder.sv:238,always,0x57,100,0100000,*,*,*
